"","Gene","SYMBOL","MM909_02","MM909_03","MM909_06","MM909_11","MM909_14","MM909_15","MM909_16","MM909_17","MM909_20","MM909_22","MM909_24","MM909_25","MM909_26","MM909_27","MM909_31","MM909_34","MM909_35","MM909_36","MM909_37","MM909_40","MM909_42","MM909_43","MM909_46","MM909_47"
"1","ENSG00000149527","PLCH2",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","ENSG00000198793","MTOR",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"3","ENSG00000142798","HSPG2",1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"4","ENSG00000130768","SMPDL3B",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","ENSG00000121904","CSMD2",1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","ENSG00000060718","COL11A1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","ENSG00000116147","TNR",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","ENSG00000162670","BRINP3",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","ENSG00000134376","CRB1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"10","ENSG00000133067","LGR6",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"11","ENSG00000162843","WDR64",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"12","ENSG00000181192","DHTKD1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","ENSG00000122859","NEUROG3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","ENSG00000188211","NCR3LG1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","ENSG00000181689","OR8K3",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","ENSG00000124942","AHNAK",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","ENSG00000137504","CREBZF",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
