"","pathway","pval","padj","overlap","size","overlapGenes","sample_id"
"1","GOCC_NEURON_PROJECTION",2.75207816792769e-16,2.76859063693525e-13,28,1358,"ENSG00000105409, ENSG00000162670, ENSG00000196557, ENSG00000144191, ENSG00000134376, ENSG00000106123, ENSG00000177106, ENSG00000011677, ENSG00000125675, ENSG00000155974, ENSG00000102468, ENSG00000198793, ENSG00000005810, ENSG00000205038, ENSG00000139220, ENSG00000161681, ENSG00000188779, ENSG00000124140, ENSG00000179520, ENSG00000106688, ENSG00000154556, ENSG00000137877, ENSG00000242866, ENSG00000106089, ENSG00000197283, ENSG00000067715, ENSG00000132872, ENSG00000073282","MM909_02"
"2","GOCC_SYNAPSE",1.81984092113481e-14,9.1537998333081e-12,26,1354,"ENSG00000110881, ENSG00000105409, ENSG00000152910, ENSG00000198010, ENSG00000011677, ENSG00000125675, ENSG00000171189, ENSG00000155974, ENSG00000164116, ENSG00000102468, ENSG00000096968, ENSG00000196569, ENSG00000185737, ENSG00000139220, ENSG00000155093, ENSG00000161681, ENSG00000124140, ENSG00000179520, ENSG00000106688, ENSG00000154556, ENSG00000156395, ENSG00000106089, ENSG00000197283, ENSG00000067715, ENSG00000132872, ENSG00000116147","MM909_02"
"3","GOCC_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE",6.81830686332347e-14,2.2864055681678e-11,29,1836,"ENSG00000111452, ENSG00000110881, ENSG00000105409, ENSG00000196557, ENSG00000106123, ENSG00000083857, ENSG00000122025, ENSG00000011677, ENSG00000125675, ENSG00000171189, ENSG00000102468, ENSG00000140678, ENSG00000082781, ENSG00000183560, ENSG00000096968, ENSG00000164794, ENSG00000167633, ENSG00000133067, ENSG00000038945, ENSG00000185737, ENSG00000155093, ENSG00000196218, ENSG00000213694, ENSG00000124140, ENSG00000106688, ENSG00000156395, ENSG00000106089, ENSG00000069702, ENSG00000115705","MM909_02"
"4","GOCC_DENDRITIC_TREE",3.82010849175372e-12,9.6075728567606e-10,17,626,"ENSG00000162670, ENSG00000144191, ENSG00000011677, ENSG00000125675, ENSG00000155974, ENSG00000102468, ENSG00000198793, ENSG00000139220, ENSG00000161681, ENSG00000188779, ENSG00000124140, ENSG00000179520, ENSG00000106688, ENSG00000154556, ENSG00000197283, ENSG00000132872, ENSG00000073282","MM909_02"
"5","GOCC_SOMATODENDRITIC_COMPARTMENT",6.1865775628723e-12,1.24473940564991e-09,19,854,"ENSG00000105409, ENSG00000162670, ENSG00000144191, ENSG00000011677, ENSG00000125675, ENSG00000155974, ENSG00000102468, ENSG00000198793, ENSG00000160191, ENSG00000139220, ENSG00000161681, ENSG00000188779, ENSG00000124140, ENSG00000179520, ENSG00000106688, ENSG00000154556, ENSG00000197283, ENSG00000132872, ENSG00000073282","MM909_02"
"6","GOCC_GLUTAMATERGIC_SYNAPSE",2.48668669652414e-10,4.16934469450547e-08,12,332,"ENSG00000198010, ENSG00000164116, ENSG00000102468, ENSG00000096968, ENSG00000185737, ENSG00000161681, ENSG00000156395, ENSG00000106089, ENSG00000197283, ENSG00000067715, ENSG00000132872, ENSG00000116147","MM909_02"
"7","GOCC_SUPRAMOLECULAR_POLYMER",1.49570558997734e-09,2.14954260502457e-07,18,1052,"ENSG00000142303, ENSG00000124942, ENSG00000164695, ENSG00000060718, ENSG00000198010, ENSG00000039139, ENSG00000115423, ENSG00000118997, ENSG00000261150, ENSG00000141200, ENSG00000049323, ENSG00000133392, ENSG00000109063, ENSG00000124429, ENSG00000196218, ENSG00000154556, ENSG00000155657, ENSG00000176105","MM909_02"
"8","GOCC_SUPRAMOLECULAR_COMPLEX",3.47084958431552e-09,4.36459335227676e-07,20,1393,"ENSG00000142303, ENSG00000124942, ENSG00000164695, ENSG00000060718, ENSG00000198010, ENSG00000039139, ENSG00000115423, ENSG00000118997, ENSG00000261150, ENSG00000141200, ENSG00000049323, ENSG00000133392, ENSG00000109063, ENSG00000205978, ENSG00000229474, ENSG00000124429, ENSG00000196218, ENSG00000154556, ENSG00000155657, ENSG00000176105","MM909_02"
"9","GOCC_PLASMA_MEMBRANE_REGION",5.61556390274969e-09,6.27695254018466e-07,19,1287,"ENSG00000105409, ENSG00000152910, ENSG00000261150, ENSG00000177106, ENSG00000083857, ENSG00000011677, ENSG00000125675, ENSG00000171189, ENSG00000155974, ENSG00000102468, ENSG00000096968, ENSG00000160191, ENSG00000161681, ENSG00000124140, ENSG00000106688, ENSG00000154556, ENSG00000156395, ENSG00000106089, ENSG00000067715","MM909_02"
"10","GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE",1.72209837244158e-08,1.73243096267623e-06,13,591,"ENSG00000142303, ENSG00000138615, ENSG00000060718, ENSG00000206384, ENSG00000142798, ENSG00000196569, ENSG00000171747, ENSG00000049323, ENSG00000137675, ENSG00000205038, ENSG00000069702, ENSG00000116147, ENSG00000168477","MM909_02"
"11","GOCC_POSTSYNAPSE",3.69089838435051e-08,3.16847581262408e-06,13,631,"ENSG00000198010, ENSG00000011677, ENSG00000125675, ENSG00000171189, ENSG00000155974, ENSG00000102468, ENSG00000096968, ENSG00000139220, ENSG00000161681, ENSG00000106688, ENSG00000156395, ENSG00000106089, ENSG00000197283","MM909_02"
"12","GOCC_GLIAL_CELL_PROJECTION",3.7794940110824e-08,3.16847581262408e-06,5,33,"ENSG00000144191, ENSG00000134376, ENSG00000179520, ENSG00000106688, ENSG00000132872","MM909_02"
"13","GOCC_CELL_BODY",1.0715086414308e-07,8.29182840984144e-06,12,574,"ENSG00000105409, ENSG00000162670, ENSG00000144191, ENSG00000155974, ENSG00000102468, ENSG00000160191, ENSG00000188779, ENSG00000124140, ENSG00000179520, ENSG00000106688, ENSG00000154556, ENSG00000132872","MM909_02"
"14","GOCC_SYNAPTIC_MEMBRANE",1.80921870423839e-07,1.29118255806388e-05,10,386,"ENSG00000152910, ENSG00000011677, ENSG00000125675, ENSG00000171189, ENSG00000155974, ENSG00000102468, ENSG00000161681, ENSG00000156395, ENSG00000106089, ENSG00000067715","MM909_02"
"15","GOCC_MEMBRANE_PROTEIN_COMPLEX",1.92522250208332e-07,1.29118255806388e-05,18,1451,"ENSG00000124942, ENSG00000105409, ENSG00000196557, ENSG00000164695, ENSG00000169583, ENSG00000144191, ENSG00000134376, ENSG00000011677, ENSG00000125675, ENSG00000142798, ENSG00000140678, ENSG00000082781, ENSG00000096968, ENSG00000164794, ENSG00000196218, ENSG00000106089, ENSG00000145087, ENSG00000069702","MM909_02"
"16","GOCC_ACTIN_CYTOSKELETON",2.22605482468738e-07,1.39963197102219e-05,11,500,"ENSG00000124942, ENSG00000128849, ENSG00000082074, ENSG00000111713, ENSG00000133392, ENSG00000109063, ENSG00000124429, ENSG00000154556, ENSG00000137877, ENSG00000106089, ENSG00000176105","MM909_02"
"17","GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX",6.4741874604171e-07,3.83119563834094e-05,10,444,"ENSG00000142303, ENSG00000138615, ENSG00000060718, ENSG00000206384, ENSG00000142798, ENSG00000196569, ENSG00000171747, ENSG00000049323, ENSG00000116147, ENSG00000168477","MM909_02"
"18","GOCC_NEURON_TO_NEURON_SYNAPSE",1.01170366119295e-06,5.65429935088948e-05,9,360,"ENSG00000105409, ENSG00000198010, ENSG00000155974, ENSG00000161681, ENSG00000106688, ENSG00000156395, ENSG00000106089, ENSG00000197283, ENSG00000067715","MM909_02"
"19","GOCC_INTEGRAL_COMPONENT_OF_SYNAPTIC_VESICLE_MEMBRANE",1.1939117755985e-06,6.32144866448471e-05,4,28,"ENSG00000179520, ENSG00000106089, ENSG00000067715, ENSG00000132872","MM909_02"
"20","GOCC_ANCHORING_JUNCTION",1.4966458108424e-06,7.52812842853729e-05,13,876,"ENSG00000124942, ENSG00000128849, ENSG00000134376, ENSG00000261150, ENSG00000083857, ENSG00000086570, ENSG00000142798, ENSG00000082781, ENSG00000096968, ENSG00000185624, ENSG00000124429, ENSG00000154556, ENSG00000176105","MM909_02"
"21","GOCC_CHROMOSOME",1.91266214205155e-06,9.16256245192316e-05,19,1884,"ENSG00000171634, ENSG00000132016, ENSG00000147889, ENSG00000164695, ENSG00000137504, ENSG00000174243, ENSG00000146618, ENSG00000167491, ENSG00000096968, ENSG00000141200, ENSG00000185513, ENSG00000122859, ENSG00000151322, ENSG00000180530, ENSG00000108055, ENSG00000073282, ENSG00000155657, ENSG00000169946, ENSG00000178764","MM909_02"
"22","GOCC_RECEPTOR_COMPLEX",2.74646654971762e-06,0.000125588424955269,10,522,"ENSG00000106123, ENSG00000122025, ENSG00000011677, ENSG00000125675, ENSG00000102468, ENSG00000140678, ENSG00000082781, ENSG00000096968, ENSG00000155093, ENSG00000069702","MM909_02"
"23","GOCC_PLASMA_MEMBRANE_PROTEIN_COMPLEX",4.03994617614742e-06,0.000176703732748013,12,813,"ENSG00000124942, ENSG00000105409, ENSG00000196557, ENSG00000134376, ENSG00000125675, ENSG00000142798, ENSG00000140678, ENSG00000082781, ENSG00000096968, ENSG00000164794, ENSG00000196218, ENSG00000069702","MM909_02"
"24","GOCC_CHROMATIN",4.80018780709704e-06,0.000201207872247484,15,1295,"ENSG00000171634, ENSG00000147889, ENSG00000137504, ENSG00000174243, ENSG00000146618, ENSG00000167491, ENSG00000096968, ENSG00000185513, ENSG00000122859, ENSG00000151322, ENSG00000180530, ENSG00000108055, ENSG00000073282, ENSG00000169946, ENSG00000178764","MM909_02"
"25","GOCC_INTRINSIC_COMPONENT_OF_SYNAPTIC_VESICLE_MEMBRANE",5.18977583830693e-06,0.000208836579733471,4,40,"ENSG00000179520, ENSG00000106089, ENSG00000067715, ENSG00000132872","MM909_02"
"26","GOCC_PERIKARYON",6.41555863566626e-06,0.000248232768749241,6,158,"ENSG00000144191, ENSG00000155974, ENSG00000160191, ENSG00000124140, ENSG00000179520, ENSG00000106688","MM909_02"
"27","GOCC_CELL_SUBSTRATE_JUNCTION",7.77557035964635e-06,0.000289711991918675,9,463,"ENSG00000124942, ENSG00000261150, ENSG00000083857, ENSG00000142798, ENSG00000082781, ENSG00000096968, ENSG00000185624, ENSG00000154556, ENSG00000176105","MM909_02"
"28","GOCC_VESICLE_MEMBRANE",8.06720201857158e-06,0.000289843043952964,15,1353,"ENSG00000164695, ENSG00000122025, ENSG00000125675, ENSG00000140678, ENSG00000038945, ENSG00000155093, ENSG00000196218, ENSG00000179520, ENSG00000106688, ENSG00000120451, ENSG00000106089, ENSG00000067715, ENSG00000132872, ENSG00000127419, ENSG00000042813","MM909_02"
"29","GOCC_MICROTUBULE_CYTOSKELETON",8.8733153860716e-06,0.000307812250978898,15,1364,"ENSG00000120262, ENSG00000164695, ENSG00000039139, ENSG00000115423, ENSG00000118997, ENSG00000104884, ENSG00000141200, ENSG00000005810, ENSG00000100078, ENSG00000065675, ENSG00000108055, ENSG00000137877, ENSG00000163060, ENSG00000118965, ENSG00000176105","MM909_02"
"30","GOCC_GOLGI_APPARATUS",1.32648317578998e-05,0.000444814024948238,17,1775,"ENSG00000110881, ENSG00000105409, ENSG00000120262, ENSG00000175874, ENSG00000086570, ENSG00000158089, ENSG00000120820, ENSG00000142798, ENSG00000133067, ENSG00000198793, ENSG00000181143, ENSG00000160191, ENSG00000165152, ENSG00000067715, ENSG00000132872, ENSG00000182670, ENSG00000176105","MM909_02"
"31","GOCC_EXCITATORY_SYNAPSE",1.38511498105597e-05,0.000449492151916873,4,51,"ENSG00000125675, ENSG00000161681, ENSG00000179520, ENSG00000067715","MM909_02"
"32","GOCC_CELL_SURFACE",1.43539717169716e-05,0.000451252985852295,13,1082,"ENSG00000110881, ENSG00000140678, ENSG00000082781, ENSG00000183560, ENSG00000104972, ENSG00000038945, ENSG00000185624, ENSG00000139220, ENSG00000106688, ENSG00000242866, ENSG00000069702, ENSG00000116147, ENSG00000115705","MM909_02"
"33","GOCC_SYNAPTIC_VESICLE_MEMBRANE",1.63487736724723e-05,0.000494984624364086,5,110,"ENSG00000155093, ENSG00000179520, ENSG00000106089, ENSG00000067715, ENSG00000132872","MM909_02"
"34","GOCC_AXON",1.72105411282947e-05,0.000494984624364086,10,645,"ENSG00000105409, ENSG00000144191, ENSG00000102468, ENSG00000005810, ENSG00000139220, ENSG00000179520, ENSG00000106688, ENSG00000106089, ENSG00000067715, ENSG00000132872","MM909_02"
"35","GOCC_PRESYNAPSE",1.72211350424881e-05,0.000494984624364086,9,512,"ENSG00000152910, ENSG00000102468, ENSG00000139220, ENSG00000155093, ENSG00000179520, ENSG00000106688, ENSG00000106089, ENSG00000067715, ENSG00000132872","MM909_02"
