"","pathway","pval","padj","overlap","size","overlapGenes","sample_id"
"1","CAHOY_NEURONAL",4.20272089000516e-07,7.94314248210975e-05,6,99,"ENSG00000152910, ENSG00000109063, ENSG00000139220, ENSG00000106089, ENSG00000067715, ENSG00000132872","MM909_02"
"2","ERBB2_UP.V1_DN",2.24386175707629e-05,0.00139942401432072,6,197,"ENSG00000169583, ENSG00000138434, ENSG00000096968, ENSG00000180530, ENSG00000108055, ENSG00000066422","MM909_02"
"3","MTOR_UP.V1_DN",2.96174394565231e-05,0.00139942401432072,6,207,"ENSG00000139631, ENSG00000049323, ENSG00000133392, ENSG00000160191, ENSG00000213694, ENSG00000106089","MM909_02"
"4","NOTCH_DN.V1_DN",2.96174394565231e-05,0.00139942401432072,6,207,"ENSG00000123171, ENSG00000086570, ENSG00000157827, ENSG00000164116, ENSG00000171747, ENSG00000124429","MM909_02"
"5","SNF5_DN.V1_DN",0.000116246520654455,0.00376622184013788,5,166,"ENSG00000147889, ENSG00000167491, ENSG00000125675, ENSG00000183560, ENSG00000109063","MM909_02"
"6","SRC_UP.V1_DN",0.000119562598099615,0.00376622184013788,5,167,"ENSG00000139631, ENSG00000205978, ENSG00000213694, ENSG00000124140, ENSG00000067715","MM909_02"
"7","KRAS.600_UP.V1_UP",0.000141596976568409,0.00382311836734704,6,275,"ENSG00000198010, ENSG00000157827, ENSG00000011677, ENSG00000100078, ENSG00000106089, ENSG00000067715","MM909_02"
"8","LEF1_UP.V1_UP",0.000269778151452877,0.00579745384155899,5,199,"ENSG00000147889, ENSG00000180530, ENSG00000155093, ENSG00000196218, ENSG00000169946","MM909_02"
"9","RAF_UP.V1_DN",0.000276069230550428,0.00579745384155899,5,200,"ENSG00000120262, ENSG00000169583, ENSG00000096968, ENSG00000106688, ENSG00000178764","MM909_02"
"10","KRAS.DF.V1_DN",0.000384452219607591,0.00726614695058346,5,215,"ENSG00000117266, ENSG00000261150, ENSG00000048052, ENSG00000149591, ENSG00000168477","MM909_02"
"11","NFE2L2.V2",0.000536837021047937,0.00922383608891456,7,492,"ENSG00000183760, ENSG00000162670, ENSG00000048052, ENSG00000065911, ENSG00000139220, ENSG00000145087, ENSG00000164325","MM909_02"
"12","KRAS.KIDNEY_UP.V1_UP",0.000698884321844606,0.0110074280690525,4,140,"ENSG00000198010, ENSG00000137675, ENSG00000124140, ENSG00000067715","MM909_02"
"13","ATM_DN.V1_DN",0.000903704652599046,0.0128583312546396,4,150,"ENSG00000137675, ENSG00000183715, ENSG00000100078, ENSG00000149591","MM909_02"
"14","CSR_LATE_UP.V1_DN",0.000972583566704839,0.0128583312546396,4,153,"ENSG00000106123, ENSG00000120820, ENSG00000205978, ENSG00000168477","MM909_02"
"15","KRAS.PROSTATE_UP.V1_DN",0.00102050248052695,0.0128583312546396,4,155,"ENSG00000106123, ENSG00000181143, ENSG00000183715, ENSG00000149591","MM909_02"
"16","KRAS.600.LUNG.BREAST_UP.V1_UP",0.00135899673048543,0.0160531488788591,5,285,"ENSG00000011677, ENSG00000048052, ENSG00000100078, ENSG00000153233, ENSG00000106089","MM909_02"
"17","ESC_V6.5_UP_EARLY.V1_DN",0.00149683939107447,0.0166413320537103,4,172,"ENSG00000124942, ENSG00000060718, ENSG00000149591, ENSG00000176105","MM909_02"
"18","KRAS.600_UP.V1_DN",0.00160420477657868,0.0168441501540761,5,296,"ENSG00000169583, ENSG00000106123, ENSG00000205978, ENSG00000130768, ENSG00000149591","MM909_02"
"19","KRAS.600.LUNG.BREAST_UP.V1_DN",0.00190720391387463,0.0189716599853845,5,308,"ENSG00000110881, ENSG00000137675, ENSG00000205978, ENSG00000139220, ENSG00000196218","MM909_02"
"20","PTEN_DN.V1_UP",0.00227557762181054,0.0209122599859235,4,193,"ENSG00000120820, ENSG00000205978, ENSG00000154556, ENSG00000069702","MM909_02"
"21","GCNP_SHH_UP_LATE.V1_DN",0.00240580556534802,0.0209122599859235,4,196,"ENSG00000106123, ENSG00000142798, ENSG00000171747, ENSG00000106089","MM909_02"
"22","P53_DN.V1_UP",0.0025410709625874,0.0209122599859235,4,199,"ENSG00000147889, ENSG00000048052, ENSG00000049323, ENSG00000176105","MM909_02"
"23","EGFR_UP.V1_DN",0.00263409395411325,0.0209122599859235,4,201,"ENSG00000138434, ENSG00000049323, ENSG00000180530, ENSG00000106688","MM909_02"
"24","NOTCH_DN.V1_UP",0.00277796830798836,0.0209122599859235,4,204,"ENSG00000122025, ENSG00000082074, ENSG00000122859, ENSG00000205978","MM909_02"
