"","pathway","pval","padj","overlap","size","overlapGenes","sample_id"
"1","HALLMARK_MYOGENESIS",1.90766271978803e-06,9.53831359894017e-05,7,200,"ENSG00000196557, ENSG00000082781, ENSG00000196569, ENSG00000133392, ENSG00000109063, ENSG00000196218, ENSG00000149591","MM909_02"
"2","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.000276707049595447,0.00691767623988617,5,199,"ENSG00000060718, ENSG00000082781, ENSG00000196569, ENSG00000149591, ENSG00000069702","MM909_02"
"3","HALLMARK_ESTROGEN_RESPONSE_EARLY",0.00298546267321162,0.0406385976335043,4,207,"ENSG00000169583, ENSG00000096968, ENSG00000180530, ENSG00000106688","MM909_02"
"4","HALLMARK_KRAS_SIGNALING_UP",0.00325108781068035,0.0406385976335043,4,212,"ENSG00000011677, ENSG00000164116, ENSG00000048052, ENSG00000153233","MM909_02"
"5","HALLMARK_SPERMATOGENESIS",0.00743277279443613,0.0682138619394118,3,139,"ENSG00000157764, ENSG00000198793, ENSG00000042813","MM909_02"
"6","HALLMARK_UV_RESPONSE_DN",0.00818566343272941,0.0682138619394118,3,144,"ENSG00000060718, ENSG00000049323, ENSG00000069702","MM909_02"
"7","HALLMARK_ALLOGRAFT_REJECTION",0.0101398258712035,0.0724273276514534,4,294,"ENSG00000147889, ENSG00000082074, ENSG00000048052, ENSG00000096968","MM909_02"
"8","HALLMARK_ESTROGEN_RESPONSE_LATE",0.0215087898670389,0.115792843561288,3,207,"ENSG00000169583, ENSG00000096968, ENSG00000180530","MM909_02"
"9","HALLMARK_P53_PATHWAY",0.0228789561813972,0.115792843561288,3,212,"ENSG00000147889, ENSG00000177106, ENSG00000073282","MM909_02"
"10","HALLMARK_E2F_TARGETS",0.0231585687122575,0.115792843561288,3,213,"ENSG00000147889, ENSG00000065911, ENSG00000108055","MM909_02"
"11","HALLMARK_COMPLEMENT",0.0281961846501935,0.128164475682698,3,230,"ENSG00000096968, ENSG00000085377, ENSG00000169946","MM909_02"
"12","HALLMARK_MITOTIC_SPINDLE",0.108279162890433,0.416198379810939,2,197,"ENSG00000108055, ENSG00000154556","MM909_02"
"13","HALLMARK_PANCREAS_BETA_CELLS",0.110068006431115,0.416198379810939,1,41,"ENSG00000122859","MM909_02"
"14","HALLMARK_GLYCOLYSIS",0.116535546347063,0.416198379810939,2,206,"ENSG00000196557, ENSG00000111713","MM909_02"
"15","HALLMARK_APICAL_JUNCTION",0.129679074383628,0.421975867812105,2,220,"ENSG00000105409, ENSG00000082074","MM909_02"
"16","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.135032277699874,0.421975867812105,1,51,"ENSG00000104884","MM909_02"
"17","HALLMARK_MYC_TARGETS_V2",0.152091656877003,0.447328402579419,1,58,"ENSG00000120800","MM909_02"
"18","HALLMARK_INTERFERON_GAMMA_RESPONSE",0.182000386963457,0.505556630454047,2,273,"ENSG00000096968, ENSG00000065911","MM909_02"
"19","HALLMARK_ANDROGEN_RESPONSE",0.247644571379646,0.651696240472753,1,100,"ENSG00000164116","MM909_02"
"20","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.274990234431507,0.687475586078767,1,113,"ENSG00000065911","MM909_02"
"21","HALLMARK_COAGULATION",0.349384587872198,0.794819924916703,1,151,"ENSG00000085377","MM909_02"
"22","HALLMARK_DNA_REPAIR",0.367666571563086,0.794819924916703,1,161,"ENSG00000104884","MM909_02"
"23","HALLMARK_APOPTOSIS",0.401006362385951,0.794819924916703,1,180,"ENSG00000069702","MM909_02"
"24","HALLMARK_MTORC1_SIGNALING",0.43259746181118,0.794819924916703,1,199,"ENSG00000065911","MM909_02"
"25","HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.437431743580944,0.794819924916703,1,202,"ENSG00000178537","MM909_02"
"26","HALLMARK_KRAS_SIGNALING_DN",0.446977760946981,0.794819924916703,1,208,"ENSG00000196218","MM909_02"
"27","HALLMARK_IL2_STAT5_SIGNALING",0.451690184069026,0.794819924916703,1,211,"ENSG00000124942","MM909_02"
"28","HALLMARK_XENOBIOTIC_METABOLISM",0.457911349213964,0.794819924916703,1,215,"ENSG00000139631","MM909_02"
"29","HALLMARK_INFLAMMATORY_RESPONSE",0.460995556451688,0.794819924916703,1,217,"ENSG00000038945","MM909_02"
"30","HALLMARK_ADIPOGENESIS",1,1,0,201,"","MM909_02"
"31","HALLMARK_ANGIOGENESIS",1,1,0,36,"","MM909_02"
"32","HALLMARK_APICAL_SURFACE",1,1,0,44,"","MM909_02"
"33","HALLMARK_BILE_ACID_METABOLISM",1,1,0,112,"","MM909_02"
"34","HALLMARK_CHOLESTEROL_HOMEOSTASIS",1,1,0,74,"","MM909_02"
"35","HALLMARK_FATTY_ACID_METABOLISM",1,1,0,159,"","MM909_02"
"36","HALLMARK_G2M_CHECKPOINT",1,1,0,199,"","MM909_02"
"37","HALLMARK_HEDGEHOG_SIGNALING",1,1,0,36,"","MM909_02"
"38","HALLMARK_HEME_METABOLISM",1,1,0,207,"","MM909_02"
"39","HALLMARK_HYPOXIA",1,1,0,206,"","MM909_02"
"40","HALLMARK_IL6_JAK_STAT3_SIGNALING",1,1,0,102,"","MM909_02"
"41","HALLMARK_INTERFERON_ALPHA_RESPONSE",1,1,0,131,"","MM909_02"
"42","HALLMARK_MYC_TARGETS_V1",1,1,0,211,"","MM909_02"
"43","HALLMARK_NOTCH_SIGNALING",1,1,0,32,"","MM909_02"
