"","pathway","pval","padj","overlap","size","overlapGenes","sample_id"
"1","REACTOME_NEUREXINS_AND_NEUROLIGINS",7.09855626319365e-07,0.00114641683650577,4,56,"ENSG00000198010, ENSG00000088367, ENSG00000161681, ENSG00000106089","MM909_02"
"2","REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES",5.00133639633704e-06,0.00403857914004216,4,91,"ENSG00000198010, ENSG00000088367, ENSG00000161681, ENSG00000106089","MM909_02"
"3","REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION",4.04997941626605e-05,0.019260047568043,5,310,"ENSG00000060718, ENSG00000142798, ENSG00000196569, ENSG00000049323, ENSG00000116147","MM909_02"
"4","REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES",4.77029041932953e-05,0.019260047568043,6,529,"ENSG00000157764, ENSG00000138615, ENSG00000060718, ENSG00000122025, ENSG00000196569, ENSG00000198793","MM909_02"
"5","REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS",7.84908398746075e-05,0.0253525412794982,3,67,"ENSG00000060718, ENSG00000142798, ENSG00000196569","MM909_02"
"6","REACTOME_MUSCLE_CONTRACTION",9.73732336670706e-05,0.0262096287287198,4,194,"ENSG00000105409, ENSG00000133392, ENSG00000196218, ENSG00000155657","MM909_02"
"7","REACTOME_ECM_PROTEOGLYCANS",0.000123454005851396,0.028482602778572,3,78,"ENSG00000142798, ENSG00000196569, ENSG00000116147","MM909_02"
"8","REACTOME_LAMININ_INTERACTIONS",0.000621919111264272,0.125549920586475,2,30,"ENSG00000142798, ENSG00000196569","MM909_02"
"9","REACTOME_MET_ACTIVATES_PTK2_SIGNALING",0.000799534834729691,0.14347208423205,2,34,"ENSG00000060718, ENSG00000196569","MM909_02"
"10","REACTOME_REGULATION_OF_TP53_ACTIVITY",0.0012877689331705,0.20536396207994,3,174,"ENSG00000185513, ENSG00000198793, ENSG00000073282","MM909_02"
"11","REACTOME_MET_PROMOTES_CELL_MOTILITY",0.00139876382840826,0.20536396207994,2,45,"ENSG00000060718, ENSG00000196569","MM909_02"
"12","REACTOME_NEURONAL_SYSTEM",0.00176837074547846,0.231587609934272,4,420,"ENSG00000198010, ENSG00000088367, ENSG00000161681, ENSG00000106089","MM909_02"
"13","REACTOME_ION_HOMEOSTASIS",0.00193473858330019,0.231587609934272,2,53,"ENSG00000105409, ENSG00000196218","MM909_02"
"14","REACTOME_SIGNALING_BY_TYPE_1_INSULIN_LIKE_GROWTH_FACTOR_1_RECEPTOR_IGF1R",0.00200757061243332,0.231587609934272,2,54,"ENSG00000138615, ENSG00000122025","MM909_02"
