"","pathway","pval","padj","overlap","size","overlapGenes","sample_id"
"1","REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES",1.9074838768346e-08,3.08058646108787e-05,6,91,"ENSG00000198010, ENSG00000088367, ENSG00000139220, ENSG00000161681, ENSG00000106089, ENSG00000067715","MM909_02"
"2","REACTOME_NEUREXINS_AND_NEUROLIGINS",6.58908409425336e-08,5.32068540610959e-05,5,56,"ENSG00000198010, ENSG00000088367, ENSG00000161681, ENSG00000106089, ENSG00000067715","MM909_02"
"3","REACTOME_GLUTAMATE_NEUROTRANSMITTER_RELEASE_CYCLE",1.08872284672157e-07,5.86095799151781e-05,4,24,"ENSG00000139220, ENSG00000106688, ENSG00000106089, ENSG00000067715","MM909_02"
"4","REACTOME_MUSCLE_CONTRACTION",1.68232509721762e-06,0.000587691651108456,6,194,"ENSG00000105409, ENSG00000164116, ENSG00000082781, ENSG00000133392, ENSG00000196218, ENSG00000155657","MM909_02"
"5","REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION",1.81947879600141e-06,0.000587691651108456,7,310,"ENSG00000060718, ENSG00000142798, ENSG00000082781, ENSG00000196569, ENSG00000049323, ENSG00000185624, ENSG00000116147","MM909_02"
"6","REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE",2.46484595249442e-06,0.000663454368879748,4,51,"ENSG00000139220, ENSG00000106688, ENSG00000106089, ENSG00000067715","MM909_02"
"7","REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE",3.95498377322748e-06,0.00085050507978568,3,17,"ENSG00000139220, ENSG00000106089, ENSG00000067715","MM909_02"
"8","REACTOME_NOREPINEPHRINE_NEUROTRANSMITTER_RELEASE_CYCLE",4.7396567913753e-06,0.00085050507978568,3,18,"ENSG00000139220, ENSG00000106089, ENSG00000067715","MM909_02"
"9","REACTOME_SEROTONIN_NEUROTRANSMITTER_RELEASE_CYCLE",4.7396567913753e-06,0.00085050507978568,3,18,"ENSG00000139220, ENSG00000106089, ENSG00000067715","MM909_02"
"10","REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS",7.39166405015652e-06,0.00119375374410028,4,67,"ENSG00000060718, ENSG00000142798, ENSG00000082781, ENSG00000196569","MM909_02"
"11","REACTOME_DOPAMINE_NEUROTRANSMITTER_RELEASE_CYCLE",1.02183477971428e-05,0.00150023924476232,3,23,"ENSG00000139220, ENSG00000106089, ENSG00000067715","MM909_02"
"12","REACTOME_SENSORY_PROCESSING_OF_SOUND",1.28681874256694e-05,0.00156247797459451,4,77,"ENSG00000088367, ENSG00000177106, ENSG00000179520, ENSG00000106089","MM909_02"
"13","REACTOME_NEURONAL_SYSTEM",1.31662180100751e-05,0.00156247797459451,7,420,"ENSG00000198010, ENSG00000088367, ENSG00000139220, ENSG00000161681, ENSG00000106688, ENSG00000106089, ENSG00000067715","MM909_02"
"14","REACTOME_ECM_PROTEOGLYCANS",1.35447007085592e-05,0.00156247797459451,4,78,"ENSG00000142798, ENSG00000082781, ENSG00000196569, ENSG00000116147","MM909_02"
"15","REACTOME_SMOOTH_MUSCLE_CONTRACTION",4.77113345343777e-05,0.00513692035153467,3,38,"ENSG00000164116, ENSG00000082781, ENSG00000133392","MM909_02"
"16","REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES",5.6842956462841e-05,0.00573758591796801,7,529,"ENSG00000157764, ENSG00000138615, ENSG00000060718, ENSG00000122025, ENSG00000096968, ENSG00000196569, ENSG00000198793","MM909_02"
