"","pathway","pval","padj","overlap","size","overlapGenes","sample_id"
"1","GOCC_SUPRAMOLECULAR_COMPLEX",1.22698117787816e-07,0.000123434306494543,12,1393,"ENSG00000124942, ENSG00000060718, ENSG00000198010, ENSG00000118997, ENSG00000141200, ENSG00000049323, ENSG00000133392, ENSG00000205978, ENSG00000229474, ENSG00000124429, ENSG00000196218, ENSG00000155657","MM909_02"
"2","GOCC_SUPRAMOLECULAR_POLYMER",6.23591048666973e-07,0.000313666297479488,10,1052,"ENSG00000124942, ENSG00000060718, ENSG00000198010, ENSG00000118997, ENSG00000141200, ENSG00000049323, ENSG00000133392, ENSG00000124429, ENSG00000196218, ENSG00000155657","MM909_02"
"3","GOCC_NEURON_PROJECTION",6.01011581937297e-06,0.00201539217142974,10,1358,"ENSG00000105409, ENSG00000162670, ENSG00000134376, ENSG00000198793, ENSG00000005810, ENSG00000205038, ENSG00000161681, ENSG00000137877, ENSG00000106089, ENSG00000073282","MM909_02"
"4","GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE",8.19951067579793e-06,0.00203220745531699,7,591,"ENSG00000138615, ENSG00000060718, ENSG00000142798, ENSG00000196569, ENSG00000049323, ENSG00000205038, ENSG00000116147","MM909_02"
"5","GOCC_GOLGI_APPARATUS",1.01004346685735e-05,0.00203220745531699,11,1775,"ENSG00000105409, ENSG00000175874, ENSG00000086570, ENSG00000120820, ENSG00000142798, ENSG00000133067, ENSG00000198793, ENSG00000181143, ENSG00000160191, ENSG00000165152, ENSG00000182670","MM909_02"
"6","GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX",1.79954931286987e-05,0.00301724434791181,6,444,"ENSG00000138615, ENSG00000060718, ENSG00000142798, ENSG00000196569, ENSG00000049323, ENSG00000116147","MM909_02"
"7","GOCC_SARCOLEMMA",2.59176207993321e-05,0.00372473236058972,4,138,"ENSG00000124942, ENSG00000196569, ENSG00000160191, ENSG00000196218","MM909_02"
"8","GOCC_ACTIN_CYTOSKELETON",3.49137550941457e-05,0.00439040470308883,6,500,"ENSG00000124942, ENSG00000111713, ENSG00000133392, ENSG00000124429, ENSG00000137877, ENSG00000106089","MM909_02"
"9","GOCC_CHROMOSOME",9.60514537267278e-05,0.0107364180498987,10,1884,"ENSG00000171634, ENSG00000137504, ENSG00000141200, ENSG00000185513, ENSG00000122859, ENSG00000151322, ENSG00000073282, ENSG00000155657, ENSG00000169946, ENSG00000178764","MM909_02"
"10","GOCC_CHROMATIN",0.000182350233251238,0.0183444334650746,8,1295,"ENSG00000171634, ENSG00000137504, ENSG00000185513, ENSG00000122859, ENSG00000151322, ENSG00000073282, ENSG00000169946, ENSG00000178764","MM909_02"
