"","pathway","pval","padj","overlap","size","overlapGenes","sample_id"
"1","GOCC_NEURON_PROJECTION",5.16190596536285e-10,3.33429565912884e-07,17,1358,"ENSG00000105409, ENSG00000162670, ENSG00000134376, ENSG00000177106, ENSG00000198793, ENSG00000005810, ENSG00000205038, ENSG00000139220, ENSG00000161681, ENSG00000179520, ENSG00000106688, ENSG00000137877, ENSG00000106089, ENSG00000197283, ENSG00000067715, ENSG00000132872, ENSG00000073282","MM909_02"
"2","GOCC_GLUTAMATERGIC_SYNAPSE",6.62881840781082e-10,3.33429565912884e-07,10,332,"ENSG00000198010, ENSG00000164116, ENSG00000096968, ENSG00000161681, ENSG00000156395, ENSG00000106089, ENSG00000197283, ENSG00000067715, ENSG00000132872, ENSG00000116147","MM909_02"
"3","GOCC_SYNAPSE",3.92731156913349e-09,1.3169584795161e-06,16,1354,"ENSG00000105409, ENSG00000152910, ENSG00000198010, ENSG00000164116, ENSG00000096968, ENSG00000196569, ENSG00000139220, ENSG00000161681, ENSG00000179520, ENSG00000106688, ENSG00000156395, ENSG00000106089, ENSG00000197283, ENSG00000067715, ENSG00000132872, ENSG00000116147","MM909_02"
"4","GOCC_SUPRAMOLECULAR_COMPLEX",5.8486015996686e-09,1.47092330231665e-06,16,1393,"ENSG00000124942, ENSG00000164695, ENSG00000060718, ENSG00000198010, ENSG00000039139, ENSG00000115423, ENSG00000118997, ENSG00000261150, ENSG00000141200, ENSG00000049323, ENSG00000133392, ENSG00000205978, ENSG00000229474, ENSG00000124429, ENSG00000196218, ENSG00000155657","MM909_02"
"5","GOCC_SUPRAMOLECULAR_POLYMER",9.08211472182787e-09,1.82732148203177e-06,14,1052,"ENSG00000124942, ENSG00000164695, ENSG00000060718, ENSG00000198010, ENSG00000039139, ENSG00000115423, ENSG00000118997, ENSG00000261150, ENSG00000141200, ENSG00000049323, ENSG00000133392, ENSG00000124429, ENSG00000196218, ENSG00000155657","MM909_02"
"6","GOCC_INTEGRAL_COMPONENT_OF_SYNAPTIC_VESICLE_MEMBRANE",2.08603756169559e-07,3.4975896451096e-05,4,28,"ENSG00000179520, ENSG00000106089, ENSG00000067715, ENSG00000132872","MM909_02"
"7","GOCC_NEURON_TO_NEURON_SYNAPSE",3.6670719431707e-07,5.20572033597115e-05,8,360,"ENSG00000105409, ENSG00000198010, ENSG00000161681, ENSG00000106688, ENSG00000156395, ENSG00000106089, ENSG00000197283, ENSG00000067715","MM909_02"
"8","GOCC_GLIAL_CELL_PROJECTION",4.13973784172656e-07,5.20572033597115e-05,4,33,"ENSG00000134376, ENSG00000179520, ENSG00000106688, ENSG00000132872","MM909_02"
"9","GOCC_SOMATODENDRITIC_COMPARTMENT",5.30757096177808e-07,5.93268487505417e-05,11,854,"ENSG00000105409, ENSG00000162670, ENSG00000198793, ENSG00000160191, ENSG00000139220, ENSG00000161681, ENSG00000179520, ENSG00000106688, ENSG00000197283, ENSG00000132872, ENSG00000073282","MM909_02"
"10","GOCC_INTRINSIC_COMPONENT_OF_SYNAPTIC_VESICLE_MEMBRANE",9.15485962261653e-07,9.20978878035223e-05,4,40,"ENSG00000179520, ENSG00000106089, ENSG00000067715, ENSG00000132872","MM909_02"
"11","GOCC_CHROMOSOME",1.89543053681273e-06,0.000173345738184873,15,1884,"ENSG00000171634, ENSG00000132016, ENSG00000164695, ENSG00000137504, ENSG00000146618, ENSG00000096968, ENSG00000141200, ENSG00000185513, ENSG00000122859, ENSG00000151322, ENSG00000108055, ENSG00000073282, ENSG00000155657, ENSG00000169946, ENSG00000178764","MM909_02"
"12","GOCC_DENDRITIC_TREE",2.47161281717696e-06,0.000207203541173335,9,626,"ENSG00000162670, ENSG00000198793, ENSG00000139220, ENSG00000161681, ENSG00000179520, ENSG00000106688, ENSG00000197283, ENSG00000132872, ENSG00000073282","MM909_02"
"13","GOCC_PLASMA_MEMBRANE_REGION",4.51442453391764e-06,0.000342555467220297,12,1287,"ENSG00000105409, ENSG00000152910, ENSG00000261150, ENSG00000177106, ENSG00000083857, ENSG00000096968, ENSG00000160191, ENSG00000161681, ENSG00000106688, ENSG00000156395, ENSG00000106089, ENSG00000067715","MM909_02"
"14","GOCC_GOLGI_APPARATUS",4.76717350008366e-06,0.000342555467220297,14,1775,"ENSG00000105409, ENSG00000175874, ENSG00000086570, ENSG00000158089, ENSG00000120820, ENSG00000142798, ENSG00000133067, ENSG00000198793, ENSG00000181143, ENSG00000160191, ENSG00000165152, ENSG00000067715, ENSG00000132872, ENSG00000182670","MM909_02"
"15","GOCC_ANCHORING_JUNCTION",5.16643399575272e-06,0.000346495506648482,10,876,"ENSG00000124942, ENSG00000134376, ENSG00000261150, ENSG00000083857, ENSG00000086570, ENSG00000142798, ENSG00000082781, ENSG00000096968, ENSG00000185624, ENSG00000124429","MM909_02"
"16","GOCC_AXONEMAL_DYNEIN_COMPLEX",1.02183477971428e-05,0.000642478617745351,3,23,"ENSG00000039139, ENSG00000115423, ENSG00000118997","MM909_02"
"17","GOCC_MICROTUBULE_ASSOCIATED_COMPLEX",1.29192371560286e-05,0.000764514857586166,5,162,"ENSG00000039139, ENSG00000115423, ENSG00000118997, ENSG00000141200, ENSG00000137877","MM909_02"
"18","GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE",1.40808768493999e-05,0.000786964561694237,8,591,"ENSG00000138615, ENSG00000060718, ENSG00000142798, ENSG00000196569, ENSG00000171747, ENSG00000049323, ENSG00000205038, ENSG00000116147","MM909_02"
"19","GOCC_COLLAGEN_CONTAINING_EXTRACELLULAR_MATRIX",1.87930127501131e-05,0.000995040569821775,7,444,"ENSG00000138615, ENSG00000060718, ENSG00000142798, ENSG00000196569, ENSG00000171747, ENSG00000049323, ENSG00000116147","MM909_02"
"20","GOCC_POSTSYNAPSE",2.24546197568399e-05,0.00112946737376905,8,631,"ENSG00000198010, ENSG00000096968, ENSG00000139220, ENSG00000161681, ENSG00000106688, ENSG00000156395, ENSG00000106089, ENSG00000197283","MM909_02"
"21","GOCC_CELL_SUBSTRATE_JUNCTION",2.4541339825739e-05,0.00117564704117588,7,463,"ENSG00000124942, ENSG00000261150, ENSG00000083857, ENSG00000142798, ENSG00000082781, ENSG00000096968, ENSG00000185624","MM909_02"
"22","GOCC_AXON",2.62307900075525e-05,0.0011830740675795,8,645,"ENSG00000105409, ENSG00000005810, ENSG00000139220, ENSG00000179520, ENSG00000106688, ENSG00000106089, ENSG00000067715, ENSG00000132872","MM909_02"
"23","GOCC_CHROMATIN",2.70484130758733e-05,0.0011830740675795,11,1295,"ENSG00000171634, ENSG00000137504, ENSG00000146618, ENSG00000096968, ENSG00000185513, ENSG00000122859, ENSG00000151322, ENSG00000108055, ENSG00000073282, ENSG00000169946, ENSG00000178764","MM909_02"
"24","GOCC_ACTIN_CYTOSKELETON",3.99098516296273e-05,0.00167288794747521,7,500,"ENSG00000124942, ENSG00000082074, ENSG00000111713, ENSG00000133392, ENSG00000124429, ENSG00000137877, ENSG00000106089","MM909_02"
