"","pathway","pval","padj","overlap","size","overlapGenes","sample_id"
"1","MTOR_UP.V1_DN",0.000124961962885763,0.0236178109854092,4,207,"ENSG00000049323, ENSG00000133392, ENSG00000160191, ENSG00000106089","MM909_02"
"2","KRAS.LUNG_UP.V1_DN",0.000889554297561418,0.0499122108739166,3,153,"ENSG00000205978, ENSG00000149527, ENSG00000196218","MM909_02"
"3","KRAS.PROSTATE_UP.V1_DN",0.000923521902594279,0.0499122108739166,3,155,"ENSG00000181143, ENSG00000183715, ENSG00000149591","MM909_02"
"4","ESC_V6.5_UP_EARLY.V1_DN",0.001245787784027,0.0499122108739166,3,172,"ENSG00000124942, ENSG00000060718, ENSG00000149591","MM909_02"
"5","ESC_J1_UP_EARLY.V1_UP",0.00137438186728219,0.0499122108739166,3,178,"ENSG00000122025, ENSG00000104953, ENSG00000169946","MM909_02"
"6","NOTCH_DN.V1_UP",0.00202700111557509,0.0499122108739166,3,204,"ENSG00000122025, ENSG00000122859, ENSG00000205978","MM909_02"
"7","PGF_UP.V1_DN",0.00208387857728671,0.0499122108739166,3,206,"ENSG00000105409, ENSG00000137504, ENSG00000151322","MM909_02"
"8","NOTCH_DN.V1_DN",0.00211268617455732,0.0499122108739166,3,207,"ENSG00000086570, ENSG00000157827, ENSG00000124429","MM909_02"
"9","KRAS.600_UP.V1_UP",0.00468659106099058,0.0984184122808021,3,275,"ENSG00000198010, ENSG00000157827, ENSG00000106089","MM909_02"
"10","KRAS.600_UP.V1_DN",0.00574346670293237,0.108551520685422,3,296,"ENSG00000205978, ENSG00000130768, ENSG00000149591","MM909_02"
"11","BRCA1_DN.V1_UP",0.0110825749823539,0.158394022641296,2,130,"ENSG00000138615, ENSG00000161681","MM909_02"
"12","CSR_EARLY_UP.V1_DN",0.0112456027944738,0.158394022641296,2,131,"ENSG00000142798, ENSG00000205978","MM909_02"
"13","KRAS.LUNG_UP.V1_UP",0.0125877149161165,0.158394022641296,2,139,"ENSG00000104972, ENSG00000153233","MM909_02"
"14","KRAS.AMP.LUNG_UP.V1_DN",0.0134603273258306,0.158394022641296,2,144,"ENSG00000149527, ENSG00000161681","MM909_02"
"15","BMI1_DN_MEL18_DN.V1_UP",0.014358528311549,0.158394022641296,2,149,"ENSG00000106089, ENSG00000149591","MM909_02"
"16","ATM_DN.V1_DN",0.014541209654668,0.158394022641296,2,150,"ENSG00000183715, ENSG00000149591","MM909_02"
"17","CSR_LATE_UP.V1_DN",0.0150952880367646,0.158394022641296,2,153,"ENSG00000120820, ENSG00000205978","MM909_02"
"18","CSR_EARLY_UP.V1_UP",0.0158480405257019,0.158394022641296,2,157,"ENSG00000164484, ENSG00000042813","MM909_02"
"19","KRAS.LUNG.BREAST_UP.V1_DN",0.0164229986735942,0.158394022641296,2,160,"ENSG00000205978, ENSG00000196218","MM909_02"
"20","E2F3_UP.V1_DN",0.0168112142247127,0.158394022641296,2,162,"ENSG00000205978, ENSG00000106089","MM909_02"
"21","BMI1_DN.V1_UP",0.0175993358490328,0.158394022641296,2,166,"ENSG00000106089, ENSG00000149591","MM909_02"
"22","TGFB_UP.V1_DN",0.0219866347515967,0.172730702114271,2,187,"ENSG00000142798, ENSG00000042813","MM909_02"
