"","pathway","pval","padj","overlap","size","overlapGenes","sample_id"
"1","CAHOY_NEURONAL",1.15897284278789e-06,0.00021904586728691,5,99,"ENSG00000152910, ENSG00000139220, ENSG00000106089, ENSG00000067715, ENSG00000132872","MM909_02"
"2","NOTCH_DN.V1_DN",2.44744520653466e-06,0.000231283572017526,6,207,"ENSG00000123171, ENSG00000086570, ENSG00000157827, ENSG00000164116, ENSG00000171747, ENSG00000124429","MM909_02"
"3","ERBB2_UP.V1_DN",0.000489089653652809,0.0185477299289665,4,197,"ENSG00000169583, ENSG00000096968, ENSG00000108055, ENSG00000066422","MM909_02"
"4","RAF_UP.V1_DN",0.000517633810957834,0.0185477299289665,4,200,"ENSG00000169583, ENSG00000096968, ENSG00000106688, ENSG00000178764","MM909_02"
"5","NOTCH_DN.V1_UP",0.000557510807732387,0.0185477299289665,4,204,"ENSG00000122025, ENSG00000082074, ENSG00000122859, ENSG00000205978","MM909_02"
"6","MTOR_UP.V1_DN",0.000588816823141794,0.0185477299289665,4,207,"ENSG00000049323, ENSG00000133392, ENSG00000160191, ENSG00000106089","MM909_02"
"7","KRAS.600_UP.V1_UP",0.00168024115634442,0.0453665112212993,4,275,"ENSG00000198010, ENSG00000157827, ENSG00000106089, ENSG00000067715","MM909_02"
"8","KRAS.600_UP.V1_DN",0.00219376903142445,0.0518277933674027,4,296,"ENSG00000169583, ENSG00000205978, ENSG00000130768, ENSG00000149591","MM909_02"
"9","KRAS.LUNG_UP.V1_DN",0.00284225052478101,0.0557199176062364,3,153,"ENSG00000205978, ENSG00000149527, ENSG00000196218","MM909_02"
"10","KRAS.PROSTATE_UP.V1_DN",0.00294814378868975,0.0557199176062364,3,155,"ENSG00000181143, ENSG00000183715, ENSG00000149591","MM909_02"
"11","ESC_V6.5_UP_EARLY.V1_DN",0.00394683089119341,0.0678137307668686,3,172,"ENSG00000124942, ENSG00000060718, ENSG00000149591","MM909_02"
"12","ESC_J1_UP_EARLY.V1_UP",0.00434260385929811,0.0683960107839452,3,178,"ENSG00000122025, ENSG00000104953, ENSG00000169946","MM909_02"
"13","TGFB_UP.V1_DN",0.00497998035584438,0.07128520257748,3,187,"ENSG00000132016, ENSG00000142798, ENSG00000042813","MM909_02"
"14","IL15_UP.V1_DN",0.00528038537610963,0.07128520257748,3,191,"ENSG00000132016, ENSG00000171747, ENSG00000067715","MM909_02"
"15","GCNP_SHH_UP_LATE.V1_DN",0.00567093550703937,0.0714537873886961,3,196,"ENSG00000142798, ENSG00000171747, ENSG00000106089","MM909_02"
"16","PGF_UP.V1_DN",0.00650291446380469,0.0722971078622992,3,206,"ENSG00000105409, ENSG00000137504, ENSG00000151322","MM909_02"
"17","PRC1_BMI_UP.V1_DN",0.00650291446380469,0.0722971078622992,3,206,"ENSG00000169583, ENSG00000183715, ENSG00000161681","MM909_02"
"18","PTEN_DN.V1_DN",0.00878377971373526,0.0922296869942202,3,230,"ENSG00000158089, ENSG00000104953, ENSG00000116147","MM909_02"
"19","CAHOY_ASTROGLIAL",0.0145519741101893,0.144753847727673,2,100,"ENSG00000163545, ENSG00000149591","MM909_02"
"20","KRAS.600.LUNG.BREAST_UP.V1_DN",0.0191139103720234,0.180626453015621,3,308,"ENSG00000205978, ENSG00000139220, ENSG00000196218","MM909_02"
"21","BRCA1_DN.V1_UP",0.0237943484263513,0.203387807631008,2,130,"ENSG00000138615, ENSG00000161681","MM909_02"
"22","CSR_EARLY_UP.V1_DN",0.0241348732872454,0.203387807631008,2,131,"ENSG00000142798, ENSG00000205978","MM909_02"
"23","KRAS.LUNG_UP.V1_UP",0.0269304690252306,0.203387807631008,2,139,"ENSG00000104972, ENSG00000153233","MM909_02"
"24","KRAS.KIDNEY_UP.V1_UP",0.0272887196600413,0.203387807631008,2,140,"ENSG00000198010, ENSG00000067715","MM909_02"
"25","PTEN_DN.V2_UP",0.0280109986105713,0.203387807631008,2,142,"ENSG00000082074, ENSG00000111713","MM909_02"
"26","KRAS.AMP.LUNG_UP.V1_DN",0.0287409272272399,0.203387807631008,2,144,"ENSG00000149527, ENSG00000161681","MM909_02"
"27","BMI1_DN_MEL18_DN.V1_UP",0.0305987944967661,0.203387807631008,2,149,"ENSG00000106089, ENSG00000149591","MM909_02"
"28","ATM_DN.V1_DN",0.0309759691443975,0.203387807631008,2,150,"ENSG00000183715, ENSG00000149591","MM909_02"
"29","CSR_LATE_UP.V1_DN",0.0321185530574799,0.203387807631008,2,153,"ENSG00000120820, ENSG00000205978","MM909_02"
"30","CSR_EARLY_UP.V1_UP",0.0336675121799081,0.203387807631008,2,157,"ENSG00000164484, ENSG00000042813","MM909_02"
"31","KRAS.LUNG.BREAST_UP.V1_DN",0.0348480946704978,0.203387807631008,2,160,"ENSG00000205978, ENSG00000196218","MM909_02"
"32","E2F3_UP.V1_DN",0.035644016409044,0.203387807631008,2,162,"ENSG00000205978, ENSG00000106089","MM909_02"
"33","PKCA_DN.V1_UP",0.0364469601056978,0.203387807631008,2,164,"ENSG00000146618, ENSG00000135925","MM909_02"
"34","BMI1_DN.V1_UP",0.0372568649167644,0.203387807631008,2,166,"ENSG00000106089, ENSG00000149591","MM909_02"
"35","SRC_UP.V1_DN",0.0376644088205571,0.203387807631008,2,167,"ENSG00000205978, ENSG00000067715","MM909_02"
"36","MYC_UP.V1_DN",0.0422591130287294,0.204792685444569,2,178,"ENSG00000205978, ENSG00000067715","MM909_02"
"37","LTE2_UP.V1_UP",0.0466081907714467,0.204792685444569,2,188,"ENSG00000169583, ENSG00000088367","MM909_02"
"38","PGF_UP.V1_UP",0.0474970065833675,0.204792685444569,2,190,"ENSG00000049323, ENSG00000108055","MM909_02"
"39","KRAS.DF.V1_UP",0.0479437433157194,0.204792685444569,2,191,"ENSG00000096968, ENSG00000149527","MM909_02"
"40","ATF2_S_UP.V1_DN",0.0483920232153356,0.204792685444569,2,192,"ENSG00000060718, ENSG00000196569","MM909_02"
"41","PTEN_DN.V1_UP",0.048841839269623,0.204792685444569,2,193,"ENSG00000120820, ENSG00000205978","MM909_02"
"42","IL2_UP.V1_DN",0.049293184486053,0.204792685444569,2,194,"ENSG00000122025, ENSG00000067715","MM909_02"
"43","PRC2_SUZ12_UP.V1_UP",0.0497460518921133,0.204792685444569,2,195,"ENSG00000086570, ENSG00000164116","MM909_02"
"44","E2F3_UP.V1_UP",0.0502004345352583,0.204792685444569,2,196,"ENSG00000165152, ENSG00000196218","MM909_02"
"45","LEF1_UP.V1_UP",0.051572604660237,0.204792685444569,2,199,"ENSG00000196218, ENSG00000169946","MM909_02"
"46","PRC2_SUZ12_UP.V1_DN",0.0520329791239125,0.204792685444569,2,200,"ENSG00000261150, ENSG00000183715","MM909_02"
"47","EGFR_UP.V1_DN",0.0524948343597559,0.204792685444569,2,201,"ENSG00000049323, ENSG00000106688","MM909_02"
"48","MTOR_UP.N4.V1_UP",0.0524948343597559,0.204792685444569,2,201,"ENSG00000164116, ENSG00000183715","MM909_02"
"49","CAMP_UP.V1_UP",0.054826083625927,0.204792685444569,2,206,"ENSG00000163545, ENSG00000185624","MM909_02"
"50","E2F1_UP.V1_DN",0.0552966806711757,0.204792685444569,2,207,"ENSG00000060718, ENSG00000106688","MM909_02"
"51","CYCLIN_D1_UP.V1_DN",0.0557687110628161,0.204792685444569,2,208,"ENSG00000157764, ENSG00000067715","MM909_02"
"52","KRAS.DF.V1_DN",0.0591124973506699,0.204792685444569,2,215,"ENSG00000261150, ENSG00000149591","MM909_02"
"53","LTE2_UP.V1_DN",0.0591124973506699,0.204792685444569,2,215,"ENSG00000096968, ENSG00000106688","MM909_02"
"54","CYCLIN_D1_UP.V1_UP",0.0595957550235517,0.204792685444569,2,216,"ENSG00000142798, ENSG00000149591","MM909_02"
"55","SNF5_DN.V1_UP",0.0595957550235517,0.204792685444569,2,216,"ENSG00000082074, ENSG00000104972","MM909_02"
"56","RPS14_DN.V1_UP",0.0640061142269427,0.216020635515931,2,225,"ENSG00000177106, ENSG00000205978","MM909_02"
"57","BCAT_BILD_ET_AL_UP",0.0789473004546157,0.2617726278232,1,45,"ENSG00000149591","MM909_02"
"58","KRAS.600.LUNG.BREAST_UP.V1_UP",0.0959177295030379,0.312559497863348,2,285,"ENSG00000153233, ENSG00000106089","MM909_02"
"59","CORDENONSI_YAP_CONSERVED_SIGNATURE",0.0989350435983465,0.316927512543856,1,57,"ENSG00000082781","MM909_02"
"60","TBK1.DN.48HRS_DN",0.123315937439267,0.388445202933691,1,72,"ENSG00000106089","MM909_02"
"61","CTIP_DN.V1_UP",0.218771571185113,0.568427639002963,1,135,"ENSG00000130768","MM909_02"
"62","RELA_DN.V1_DN",0.221626819907586,0.568427639002963,1,137,"ENSG00000171747","MM909_02"
"63","BMI1_DN.V1_DN",0.223050561986392,0.568427639002963,1,138,"ENSG00000073282","MM909_02"
"64","KRAS.300_UP.V1_UP",0.225890304831539,0.568427639002963,1,140,"ENSG00000067715","MM909_02"
"65","NFE2L2.V2",0.226605264219053,0.568427639002963,2,492,"ENSG00000162670, ENSG00000139220","MM909_02"
"66","KRAS.AMP.LUNG_UP.V1_UP",0.228719756833296,0.568427639002963,1,142,"ENSG00000151322","MM909_02"
"67","KRAS.PROSTATE_UP.V1_UP",0.231538954963954,0.568427639002963,1,144,"ENSG00000149527","MM909_02"
"68","KRAS.BREAST_UP.V1_UP",0.232944720345442,0.568427639002963,1,145,"ENSG00000106089","MM909_02"
"69","KRAS.LUNG.BREAST_UP.V1_UP",0.23574860670457,0.568427639002963,1,147,"ENSG00000153233","MM909_02"
"70","ALK_DN.V1_DN",0.237146736843192,0.568427639002963,1,148,"ENSG00000198010","MM909_02"
