"","pathway","pval","padj","overlap","size","overlapGenes","sample_id"
"1","TIEN_INTESTINE_PROBIOTICS_24HR_DN",0.229711506492936,1,1,214,"ENSG00000182670","MM909_02"
"2","TIEN_INTESTINE_PROBIOTICS_24HR_UP",0.494579524505083,1,1,558,"ENSG00000149591","MM909_02"
"3","BENITEZ_GBM_PROTEASOME_INHIBITION_RESPONSE",1,1,0,48,"","MM909_02"
"4","BIOCARTA_PROTEASOME_PATHWAY",1,1,0,18,"","MM909_02"
"5","BIOCARTA_RARRXR_PATHWAY",1,1,0,7,"","MM909_02"
"6","BORCZUK_MALIGNANT_MESOTHELIOMA_DN",1,1,0,100,"","MM909_02"
"7","BORCZUK_MALIGNANT_MESOTHELIOMA_UP",1,1,0,308,"","MM909_02"
"8","CONCANNON_APOPTOSIS_BY_EPOXOMICIN_DN",1,1,0,169,"","MM909_02"
"9","CONCANNON_APOPTOSIS_BY_EPOXOMICIN_UP",1,1,0,235,"","MM909_02"
"10","GCM_PSME1",1,1,0,83,"","MM909_02"
"11","GOBP_PROTEASOME_ASSEMBLY",1,1,0,12,"","MM909_02"
"12","GOBP_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS_VIA_THE_C_END_DEGRON_RULE_PATHWAY",1,1,0,12,"","MM909_02"
"13","GOCC_PROTEASOME_ACCESSORY_COMPLEX",1,1,0,23,"","MM909_02"
"14","GOCC_PROTEASOME_COMPLEX",1,1,0,59,"","MM909_02"
"15","GOCC_PROTEASOME_CORE_COMPLEX",1,1,0,19,"","MM909_02"
"16","GOCC_PROTEASOME_CORE_COMPLEX_ALPHA_SUBUNIT_COMPLEX",1,1,0,8,"","MM909_02"
"17","GOCC_PROTEASOME_CORE_COMPLEX_BETA_SUBUNIT_COMPLEX",1,1,0,10,"","MM909_02"
"18","GOCC_PROTEASOME_REGULATORY_PARTICLE",1,1,0,19,"","MM909_02"
"19","GOCC_PROTEASOME_REGULATORY_PARTICLE_BASE_SUBCOMPLEX",1,1,0,9,"","MM909_02"
"20","GOCC_PROTEASOME_REGULATORY_PARTICLE_LID_SUBCOMPLEX",1,1,0,7,"","MM909_02"
"21","GOCC_SPERMATOPROTEASOME_COMPLEX",1,1,0,5,"","MM909_02"
"22","HERNANDEZ_ABERRANT_MITOSIS_BY_DOCETACEL_2NM_DN",1,1,0,22,"","MM909_02"
"23","HERNANDEZ_ABERRANT_MITOSIS_BY_DOCETACEL_2NM_UP",1,1,0,69,"","MM909_02"
"24","HERNANDEZ_ABERRANT_MITOSIS_BY_DOCETACEL_4NM_DN",1,1,0,6,"","MM909_02"
"25","HERNANDEZ_ABERRANT_MITOSIS_BY_DOCETACEL_4NM_UP",1,1,0,23,"","MM909_02"
"26","HERNANDEZ_MITOTIC_ARREST_BY_DOCETAXEL_1_DN",1,1,0,37,"","MM909_02"
"27","HERNANDEZ_MITOTIC_ARREST_BY_DOCETAXEL_1_UP",1,1,0,34,"","MM909_02"
"28","HERNANDEZ_MITOTIC_ARREST_BY_DOCETAXEL_2_DN",1,1,0,18,"","MM909_02"
"29","HERNANDEZ_MITOTIC_ARREST_BY_DOCETAXEL_2_UP",1,1,0,60,"","MM909_02"
"30","KEGG_PARKINSONS_DISEASE",1,1,0,113,"","MM909_02"
"31","KEGG_PROTEASOME",1,1,0,44,"","MM909_02"
"32","KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS",1,1,0,133,"","MM909_02"
"33","LE_SKI_TARGETS_DN",1,1,0,7,"","MM909_02"
"34","LE_SKI_TARGETS_UP",1,1,0,17,"","MM909_02"
"35","MORF_PSMC1",1,1,0,189,"","MM909_02"
"36","MORF_PSMC2",1,1,0,115,"","MM909_02"
"37","MORF_PSMF1",1,1,0,166,"","MM909_02"
"38","PELLICCIOTTA_HDAC_IN_ANTIGEN_PRESENTATION_DN",1,1,0,49,"","MM909_02"
"39","PELLICCIOTTA_HDAC_IN_ANTIGEN_PRESENTATION_UP",1,1,0,63,"","MM909_02"
"40","PODAR_RESPONSE_TO_ADAPHOSTIN_DN",1,1,0,18,"","MM909_02"
"41","PODAR_RESPONSE_TO_ADAPHOSTIN_UP",1,1,0,145,"","MM909_02"
"42","REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION",1,1,0,307,"","MM909_02"
"43","REACTOME_DEGRADATION_OF_GLI1_BY_THE_PROTEASOME",1,1,0,59,"","MM909_02"
"44","SAKAI_CHRONIC_HEPATITIS_VS_LIVER_CANCER_DN",1,1,0,36,"","MM909_02"
"45","SAKAI_CHRONIC_HEPATITIS_VS_LIVER_CANCER_UP",1,1,0,81,"","MM909_02"
"46","SAKAI_TUMOR_INFILTRATING_MONOCYTES_DN",1,1,0,80,"","MM909_02"
"47","SAKAI_TUMOR_INFILTRATING_MONOCYTES_UP",1,1,0,27,"","MM909_02"
"48","TIEN_INTESTINE_PROBIOTICS_2HR_DN",1,1,0,89,"","MM909_02"
"49","TIEN_INTESTINE_PROBIOTICS_2HR_UP",1,1,0,30,"","MM909_02"
"50","TIEN_INTESTINE_PROBIOTICS_6HR_DN",1,1,0,170,"","MM909_02"
"51","TIEN_INTESTINE_PROBIOTICS_6HR_UP",1,1,0,52,"","MM909_02"
"52","VETTER_TARGETS_OF_PRKCA_AND_ETS1_DN",1,1,0,16,"","MM909_02"
"53","VETTER_TARGETS_OF_PRKCA_AND_ETS1_UP",1,1,0,16,"","MM909_02"
"54","WONG_MITOCHONDRIA_GENE_MODULE",1,1,0,215,"","MM909_02"
