"","pathway","pval","padj","overlap","size","overlapGenes","sample_id"
"1","KEGG_ERBB_SIGNALING_PATHWAY",0.00197171148670798,0.199142860157506,3,87,"ENSG00000157764, ENSG00000198793, ENSG00000185737","MM909_02"
"2","KEGG_OOCYTE_MEIOSIS",0.0402530401198233,1,2,112,"ENSG00000139151, ENSG00000108055","MM909_02"
"3","BIOCARTA_HIF_PATHWAY",0.041531825877282,1,1,15,"ENSG00000185624","MM909_02"
"4","GOBP_PROTEIN_K48_LINKED_UBIQUITINATION",0.167970319209316,1,1,65,"ENSG00000182670","MM909_02"
"5","GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION",0.207326264959553,1,4,828,"ENSG00000118496, ENSG00000005810, ENSG00000106089, ENSG00000182670","MM909_02"
"6","GOBP_POSITIVE_REGULATION_OF_PROTEIN_UBIQUITINATION",0.265430561374105,1,1,109,"ENSG00000005810","MM909_02"
"7","GOBP_REGULATION_OF_PROTEIN_UBIQUITINATION",0.430825497574345,1,1,199,"ENSG00000005810","MM909_02"
"8","GOBP_PROTEIN_POLYUBIQUITINATION",0.471297832042406,1,1,225,"ENSG00000182670","MM909_02"
"9","BIOCARTA_ATRBRCA_PATHWAY",1,1,0,22,"","MM909_02"
"10","BIOCARTA_CBL_PATHWAY",1,1,0,12,"","MM909_02"
"11","BIOCARTA_GSK3_PATHWAY",1,1,0,20,"","MM909_02"
"12","BIOCARTA_P27_PATHWAY",1,1,0,13,"","MM909_02"
"13","BIOCARTA_P53HYPOXIA_PATHWAY",1,1,0,21,"","MM909_02"
"14","BIOCARTA_PARKIN_PATHWAY",1,1,0,8,"","MM909_02"
"15","BIOCARTA_PROTEASOME_PATHWAY",1,1,0,18,"","MM909_02"
"16","BIOCARTA_SPRY_PATHWAY",1,1,0,17,"","MM909_02"
"17","GCM_USP6",1,1,0,69,"","MM909_02"
"18","GOBP_FREE_UBIQUITIN_CHAIN_POLYMERIZATION",1,1,0,9,"","MM909_02"
"19","GOBP_HISTONE_UBIQUITINATION",1,1,0,8,"","MM909_02"
"20","GOBP_MONOUBIQUITINATED_PROTEIN_DEUBIQUITINATION",1,1,0,8,"","MM909_02"
"21","GOBP_NEGATIVE_REGULATION_OF_PROTEIN_UBIQUITINATION",1,1,0,78,"","MM909_02"
"22","GOBP_NEGATIVE_REGULATION_OF_UBIQUITIN_PROTEIN_LIGASE_ACTIVITY",1,1,0,9,"","MM909_02"
"23","GOBP_NEGATIVE_REGULATION_OF_UBIQUITIN_PROTEIN_TRANSFERASE_ACTIVITY",1,1,0,15,"","MM909_02"
"24","GOBP_POSITIVE_REGULATION_OF_UBIQUITIN_PROTEIN_LIGASE_ACTIVITY",1,1,0,9,"","MM909_02"
"25","GOBP_POSITIVE_REGULATION_OF_UBIQUITIN_PROTEIN_TRANSFERASE_ACTIVITY",1,1,0,22,"","MM909_02"
"26","GOBP_PROTEIN_DEUBIQUITINATION_INVOLVED_IN_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS",1,1,0,8,"","MM909_02"
"27","GOBP_PROTEIN_K11_LINKED_DEUBIQUITINATION",1,1,0,10,"","MM909_02"
"28","GOBP_PROTEIN_K11_LINKED_UBIQUITINATION",1,1,0,30,"","MM909_02"
"29","GOBP_PROTEIN_K27_LINKED_UBIQUITINATION",1,1,0,7,"","MM909_02"
"30","GOBP_PROTEIN_K29_LINKED_DEUBIQUITINATION",1,1,0,5,"","MM909_02"
"31","GOBP_PROTEIN_K29_LINKED_UBIQUITINATION",1,1,0,7,"","MM909_02"
"32","GOBP_PROTEIN_K48_LINKED_DEUBIQUITINATION",1,1,0,26,"","MM909_02"
"33","GOBP_PROTEIN_K63_LINKED_DEUBIQUITINATION",1,1,0,30,"","MM909_02"
"34","GOBP_PROTEIN_K63_LINKED_UBIQUITINATION",1,1,0,58,"","MM909_02"
"35","GOBP_PROTEIN_K6_LINKED_UBIQUITINATION",1,1,0,11,"","MM909_02"
"36","GOBP_PROTEIN_LINEAR_POLYUBIQUITINATION",1,1,0,5,"","MM909_02"
"37","GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_REMOVAL",1,1,0,133,"","MM909_02"
"38","GOBP_PROTEIN_MONOUBIQUITINATION",1,1,0,42,"","MM909_02"
"39","GOBP_REGULATION_OF_PROTEIN_DEUBIQUITINATION",1,1,0,10,"","MM909_02"
