"","pathway","pval","padj","overlap","size","overlapGenes","sample_id"
"1","KEGG_ERBB_SIGNALING_PATHWAY",0.011167990676166,0.909856062803631,2,87,"ENSG00000157764, ENSG00000198793","MM909_02"
"2","KEGG_OOCYTE_MEIOSIS",0.0180169517386858,0.909856062803631,2,112,"ENSG00000139151, ENSG00000108055","MM909_02"
"3","BIOCARTA_HIF_PATHWAY",0.0270341087234003,0.910148327021143,1,15,"ENSG00000185624","MM909_02"
"4","GOBP_PROTEIN_K48_LINKED_UBIQUITINATION",0.112020676128742,1,1,65,"ENSG00000182670","MM909_02"
"5","GOBP_POSITIVE_REGULATION_OF_PROTEIN_UBIQUITINATION",0.180694645247702,1,1,109,"ENSG00000005810","MM909_02"
"6","GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION",0.193066097338262,1,3,828,"ENSG00000005810, ENSG00000106089, ENSG00000182670","MM909_02"
"7","GOBP_REGULATION_OF_PROTEIN_UBIQUITINATION",0.305187340455525,1,1,199,"ENSG00000005810","MM909_02"
"8","GOBP_PROTEIN_POLYUBIQUITINATION",0.337522965269011,1,1,225,"ENSG00000182670","MM909_02"
"9","BIOCARTA_ATRBRCA_PATHWAY",1,1,0,22,"","MM909_02"
"10","BIOCARTA_CBL_PATHWAY",1,1,0,12,"","MM909_02"
"11","BIOCARTA_GSK3_PATHWAY",1,1,0,20,"","MM909_02"
"12","BIOCARTA_P27_PATHWAY",1,1,0,13,"","MM909_02"
"13","BIOCARTA_P53HYPOXIA_PATHWAY",1,1,0,21,"","MM909_02"
"14","BIOCARTA_PARKIN_PATHWAY",1,1,0,8,"","MM909_02"
"15","BIOCARTA_PROTEASOME_PATHWAY",1,1,0,18,"","MM909_02"
"16","BIOCARTA_SPRY_PATHWAY",1,1,0,17,"","MM909_02"
"17","GCM_USP6",1,1,0,69,"","MM909_02"
"18","GOBP_FREE_UBIQUITIN_CHAIN_POLYMERIZATION",1,1,0,9,"","MM909_02"
"19","GOBP_HISTONE_UBIQUITINATION",1,1,0,8,"","MM909_02"
"20","GOBP_MONOUBIQUITINATED_PROTEIN_DEUBIQUITINATION",1,1,0,8,"","MM909_02"
"21","GOBP_NEGATIVE_REGULATION_OF_PROTEIN_UBIQUITINATION",1,1,0,78,"","MM909_02"
"22","GOBP_NEGATIVE_REGULATION_OF_UBIQUITIN_PROTEIN_LIGASE_ACTIVITY",1,1,0,9,"","MM909_02"
"23","GOBP_NEGATIVE_REGULATION_OF_UBIQUITIN_PROTEIN_TRANSFERASE_ACTIVITY",1,1,0,15,"","MM909_02"
"24","GOBP_POSITIVE_REGULATION_OF_UBIQUITIN_PROTEIN_LIGASE_ACTIVITY",1,1,0,9,"","MM909_02"
