"","pathway","pval","padj","overlap","size","overlapGenes","sample_id"
"1","GOCC_AXON",0.0396458588570143,1,1,645,"ENSG00000005810","MM909_02"
"2","GOCC_NEURON_PROJECTION",0.0820868136085747,1,1,1358,"ENSG00000005810","MM909_02"
"3","GOCC_MICROTUBULE_CYTOSKELETON",0.082437879578768,1,1,1364,"ENSG00000005810","MM909_02"
"4","GOCC_NUCLEOLUS",0.0867594184775624,1,1,1438,"ENSG00000182670","MM909_02"
"5","GOCC_GOLGI_APPARATUS",0.10624719767174,1,1,1775,"ENSG00000182670","MM909_02"
"6","GOCC_90S_PRERIBOSOME",1,1,0,29,"","MM909_02"
"7","GOCC_9PLUS0_NON_MOTILE_CILIUM",1,1,0,132,"","MM909_02"
"8","GOCC_9PLUS2_MOTILE_CILIUM",1,1,0,148,"","MM909_02"
"9","GOCC_A_BAND",1,1,0,34,"","MM909_02"
"10","GOCC_ACETYLCHOLINE_GATED_CHANNEL_COMPLEX",1,1,0,15,"","MM909_02"
"11","GOCC_ACROSOMAL_MEMBRANE",1,1,0,28,"","MM909_02"
"12","GOCC_ACROSOMAL_VESICLE",1,1,0,123,"","MM909_02"
"13","GOCC_ACTIN_BASED_CELL_PROJECTION",1,1,0,227,"","MM909_02"
"14","GOCC_ACTIN_CYTOSKELETON",1,1,0,500,"","MM909_02"
"15","GOCC_ACTIN_FILAMENT",1,1,0,114,"","MM909_02"
"16","GOCC_ACTIN_FILAMENT_BUNDLE",1,1,0,76,"","MM909_02"
"17","GOCC_ACTIVIN_RECEPTOR_COMPLEX",1,1,0,7,"","MM909_02"
"18","GOCC_ACTOMYOSIN",1,1,0,76,"","MM909_02"
"19","GOCC_ADHERENS_JUNCTION",1,1,0,178,"","MM909_02"
"20","GOCC_AGGRESOME",1,1,0,49,"","MM909_02"
"21","GOCC_AIM2_INFLAMMASOME_COMPLEX",1,1,0,5,"","MM909_02"
"22","GOCC_ALPHA_BETA_T_CELL_RECEPTOR_COMPLEX",1,1,0,8,"","MM909_02"
"23","GOCC_ALPHA_DNA_POLYMERASE_PRIMASE_COMPLEX",1,1,0,5,"","MM909_02"
"24","GOCC_ALVEOLAR_LAMELLAR_BODY",1,1,0,7,"","MM909_02"
"25","GOCC_AMINOACYL_TRNA_SYNTHETASE_MULTIENZYME_COMPLEX",1,1,0,11,"","MM909_02"
"26","GOCC_AMPA_GLUTAMATE_RECEPTOR_COMPLEX",1,1,0,26,"","MM909_02"
"27","GOCC_AMPHISOME",1,1,0,13,"","MM909_02"
"28","GOCC_AMPHISOME_MEMBRANE",1,1,0,11,"","MM909_02"
"29","GOCC_ANAPHASE_PROMOTING_COMPLEX",1,1,0,21,"","MM909_02"
"30","GOCC_ANCHORED_COMPONENT_OF_EXTERNAL_SIDE_OF_PLASMA_MEMBRANE",1,1,0,19,"","MM909_02"
"31","GOCC_ANCHORED_COMPONENT_OF_MEMBRANE",1,1,0,180,"","MM909_02"
"32","GOCC_ANCHORED_COMPONENT_OF_PLASMA_MEMBRANE",1,1,0,61,"","MM909_02"
"33","GOCC_ANCHORED_COMPONENT_OF_POSTSYNAPTIC_MEMBRANE",1,1,0,5,"","MM909_02"
"34","GOCC_ANCHORED_COMPONENT_OF_PRESYNAPTIC_MEMBRANE",1,1,0,7,"","MM909_02"
"35","GOCC_ANCHORED_COMPONENT_OF_SYNAPTIC_MEMBRANE",1,1,0,11,"","MM909_02"
"36","GOCC_ANCHORED_COMPONENT_OF_SYNAPTIC_VESICLE_MEMBRANE",1,1,0,12,"","MM909_02"
"37","GOCC_ANCHORING_JUNCTION",1,1,0,876,"","MM909_02"
"38","GOCC_ANNULATE_LAMELLAE",1,1,0,5,"","MM909_02"
"39","GOCC_AP_1_ADAPTOR_COMPLEX",1,1,0,6,"","MM909_02"
"40","GOCC_AP_3_ADAPTOR_COMPLEX",1,1,0,5,"","MM909_02"
