"","pathway","pval","padj","overlap","size","overlapGenes","sample_id"
"1","KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV",1,1,0,21,"","MM909_02"
"2","KEGG_MEDICUS_ENV_FACTOR_BENZO_A_PYRENRE_TO_CYP_MEDIATED_METABOLISM",1,1,0,11,"","MM909_02"
"3","KEGG_MEDICUS_ENV_FACTOR_BPA_TO_RAS_ERK_SIGNALING_PATHWAY",1,1,0,13,"","MM909_02"
"4","KEGG_MEDICUS_ENV_FACTOR_DCE_TO_DNA_ADDUCTS",1,1,0,18,"","MM909_02"
"5","KEGG_MEDICUS_ENV_FACTOR_E2_TO_NUCLEAR_INITIATED_ESTROGEN_SIGNALING_PATHWAY",1,1,0,7,"","MM909_02"
"6","KEGG_MEDICUS_ENV_FACTOR_E2_TO_RAS_ERK_SIGNALING_PATHWAY",1,1,0,16,"","MM909_02"
"7","KEGG_MEDICUS_ENV_FACTOR_IRON_TO_ANTEROGRADE_AXONAL_TRANSPORT",1,1,0,19,"","MM909_02"
"8","KEGG_MEDICUS_ENV_FACTOR_METALS_TO_JNK_SIGNALING_PATHWAY",1,1,0,8,"","MM909_02"
"9","KEGG_MEDICUS_ENV_FACTOR_METALS_TO_KEAP1_NRF2_SIGNALIG_PATHWAY",1,1,0,9,"","MM909_02"
"10","KEGG_MEDICUS_ENV_FACTOR_METALS_TO_NFKB_SIGNALING_PATHWAY",1,1,0,15,"","MM909_02"
"11","KEGG_MEDICUS_ENV_FACTOR_METALS_TO_RAS_ERK_SIGNALING_PATHWAY",1,1,0,12,"","MM909_02"
"12","KEGG_MEDICUS_ENV_FACTOR_NICOTINE_NNK_TO_CAMP_SIGNALING_PATHWAY",1,1,0,14,"","MM909_02"
"13","KEGG_MEDICUS_ENV_FACTOR_NICOTINE_NNK_TO_PI3K_SIGNALING_PATHWAY",1,1,0,11,"","MM909_02"
"14","KEGG_MEDICUS_ENV_FACTOR_NNK_NNN_TO_CHRNA7_E2F_SIGNALING_PATHWAY",1,1,0,10,"","MM909_02"
"15","KEGG_MEDICUS_ENV_FACTOR_NNK_NNN_TO_PI3K_SIGNALING_PATHWAY_N01339",1,1,0,11,"","MM909_02"
"16","KEGG_MEDICUS_ENV_FACTOR_NNK_NNN_TO_PI3K_SIGNALING_PATHWAY_N01350",1,1,0,12,"","MM909_02"
"17","KEGG_MEDICUS_ENV_FACTOR_NNK_NNN_TO_RAS_ERK_SIGNALING_PATHWAY",1,1,0,19,"","MM909_02"
"18","KEGG_MEDICUS_ENV_FACTOR_NNK_TO_DNA_ADDUCTS",1,1,0,5,"","MM909_02"
"19","KEGG_MEDICUS_ENV_FACTOR_PHIP_TO_DNA_ADDUCTS",1,1,0,5,"","MM909_02"
"20","KEGG_MEDICUS_ENV_FACTOR_TCDD_TO_AHR_SIGNALING_PATHWAY",1,1,0,22,"","MM909_02"
"21","KEGG_MEDICUS_ENV_FACTOR_ZN_TO_ANTEROGRADE_AXONAL_TRANSPORT",1,1,0,19,"","MM909_02"
"22","KEGG_MEDICUS_PATHOGEN_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_II",1,1,0,6,"","MM909_02"
"23","KEGG_MEDICUS_PATHOGEN_EBV_BARF1_TO_INTRINSIC_APOPTOTIC_PATHWAY",1,1,0,7,"","MM909_02"
"24","KEGG_MEDICUS_PATHOGEN_EBV_EBNA1_TO_P53_MEDIATED_TRANSCRIPTION",1,1,0,10,"","MM909_02"
"25","KEGG_MEDICUS_PATHOGEN_EBV_EBNA2_TO_RBP_JK_MEDIATED_TRANSCRIPTION",1,1,0,7,"","MM909_02"
"26","KEGG_MEDICUS_PATHOGEN_EBV_EBNA3C_TO_CELL_CYCLE_G1_S",1,1,0,9,"","MM909_02"
"27","KEGG_MEDICUS_PATHOGEN_EBV_EBNA3C_TO_P27_CELL_CYCLE_G1_S_N00264",1,1,0,11,"","MM909_02"
