"","pathway","pval","padj","overlap","size","overlapGenes","sample_id"
"1","TIEN_INTESTINE_PROBIOTICS_24HR_DN",0.023109079119114,0.9264266952791,3,214,"ENSG00000065911, ENSG00000185624, ENSG00000182670","MM909_02"
"2","VETTER_TARGETS_OF_PRKCA_AND_ETS1_DN",0.0442388138704199,0.9264266952791,1,16,"ENSG00000155093","MM909_02"
"3","HERNANDEZ_MITOTIC_ARREST_BY_DOCETAXEL_2_DN",0.0496300015328089,0.9264266952791,1,18,"ENSG00000069702","MM909_02"
"4","CONCANNON_APOPTOSIS_BY_EPOXOMICIN_DN",0.0829428930645307,1,2,169,"ENSG00000048052, ENSG00000106688","MM909_02"
"5","SAKAI_CHRONIC_HEPATITIS_VS_LIVER_CANCER_DN",0.0968097998772665,1,1,36,"ENSG00000196843","MM909_02"
"6","HERNANDEZ_ABERRANT_MITOSIS_BY_DOCETACEL_2NM_UP",0.177337627435998,1,1,69,"ENSG00000069702","MM909_02"
"7","GCM_PSME1",0.20930487265764,1,1,83,"ENSG00000196531","MM909_02"
"8","BORCZUK_MALIGNANT_MESOTHELIOMA_DN",0.246465718919452,1,1,100,"ENSG00000147889","MM909_02"
"9","PODAR_RESPONSE_TO_ADAPHOSTIN_UP",0.336659332714956,1,1,145,"ENSG00000140678","MM909_02"
"10","MORF_PSMF1",0.374991933757465,1,1,166,"ENSG00000104884","MM909_02"
"11","WONG_MITOCHONDRIA_GENE_MODULE",0.456081865964051,1,1,215,"ENSG00000065911","MM909_02"
"12","TIEN_INTESTINE_PROBIOTICS_24HR_UP",0.468228127971399,1,2,558,"ENSG00000106688, ENSG00000149591","MM909_02"
"13","CONCANNON_APOPTOSIS_BY_EPOXOMICIN_UP",0.486090421630054,1,1,235,"ENSG00000083857","MM909_02"
"14","REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION",0.581115686647319,1,1,307,"ENSG00000118496","MM909_02"
"15","BENITEZ_GBM_PROTEASOME_INHIBITION_RESPONSE",1,1,0,48,"","MM909_02"
"16","BIOCARTA_PROTEASOME_PATHWAY",1,1,0,18,"","MM909_02"
