"","pathway","pval","padj","overlap","size","overlapGenes","sample_id"
"1","REACTOME_2_LTR_CIRCLE_FORMATION",1,1,0,7,"","MM909_02"
"2","REACTOME_A_TETRASACCHARIDE_LINKER_SEQUENCE_IS_REQUIRED_FOR_GAG_SYNTHESIS",1,1,0,26,"","MM909_02"
"3","REACTOME_ABACAVIR_METABOLISM",1,1,0,5,"","MM909_02"
"4","REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT",1,1,0,5,"","MM909_02"
"5","REACTOME_ABACAVIR_TRANSPORT_AND_METABOLISM",1,1,0,10,"","MM909_02"
"6","REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT",1,1,0,128,"","MM909_02"
"7","REACTOME_ABC_TRANSPORTER_DISORDERS",1,1,0,97,"","MM909_02"
"8","REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS",1,1,0,18,"","MM909_02"
"9","REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS",1,1,0,20,"","MM909_02"
"10","REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS",1,1,0,17,"","MM909_02"
"11","REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT",1,1,0,28,"","MM909_02"
"12","REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS",1,1,0,14,"","MM909_02"
"13","REACTOME_ACETYLCHOLINE_INHIBITS_CONTRACTION_OF_OUTER_HAIR_CELLS",1,1,0,5,"","MM909_02"
"14","REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE",1,1,0,17,"","MM909_02"
"15","REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION",1,1,0,9,"","MM909_02"
"16","REACTOME_ACROSOME_REACTION_AND_SPERM_OOCYTE_MEMBRANE_BINDING",1,1,0,6,"","MM909_02"
"17","REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS",1,1,0,31,"","MM909_02"
"18","REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_CDK5",1,1,0,6,"","MM909_02"
"19","REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FRS2_AND_FRS3",1,1,0,11,"","MM909_02"
"20","REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FYN",1,1,0,7,"","MM909_02"
"21","REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_PI3K",1,1,0,7,"","MM909_02"
"22","REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_RAS",1,1,0,9,"","MM909_02"
"23","REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_PI3K",1,1,0,6,"","MM909_02"
"24","REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_RAS",1,1,0,8,"","MM909_02"
"25","REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3",1,1,0,37,"","MM909_02"
"26","REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION",1,1,0,23,"","MM909_02"
"27","REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS",1,1,0,29,"","MM909_02"
"28","REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS",1,1,0,90,"","MM909_02"
"29","REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS",1,1,0,37,"","MM909_02"
"30","REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA",1,1,0,15,"","MM909_02"
"31","REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS",1,1,0,30,"","MM909_02"
"32","REACTOME_ACTIVATION_OF_C3_AND_C5",1,1,0,24,"","MM909_02"
"33","REACTOME_ACTIVATION_OF_CASPASES_THROUGH_APOPTOSOME_MEDIATED_CLEAVAGE",1,1,0,6,"","MM909_02"
"34","REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP",1,1,0,41,"","MM909_02"
"35","REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_EPSILON",1,1,0,17,"","MM909_02"
"36","REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING",1,1,0,30,"","MM909_02"
"37","REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES",1,1,0,32,"","MM909_02"
"38","REACTOME_ACTIVATION_OF_NIMA_KINASES_NEK9_NEK6_NEK7",1,1,0,7,"","MM909_02"
"39","REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS",1,1,0,93,"","MM909_02"
"40","REACTOME_ACTIVATION_OF_NOXA_AND_TRANSLOCATION_TO_MITOCHONDRIA",1,1,0,5,"","MM909_02"
"41","REACTOME_ACTIVATION_OF_PPARGC1A_PGC_1ALPHA_BY_PHOSPHORYLATION",1,1,0,10,"","MM909_02"
"42","REACTOME_ACTIVATION_OF_PUMA_AND_TRANSLOCATION_TO_MITOCHONDRIA",1,1,0,9,"","MM909_02"
"43","REACTOME_ACTIVATION_OF_RAC1",1,1,0,13,"","MM909_02"
"44","REACTOME_ACTIVATION_OF_RAC1_DOWNSTREAM_OF_NMDARS",1,1,0,7,"","MM909_02"
"45","REACTOME_ACTIVATION_OF_RAS_IN_B_CELLS",1,1,0,5,"","MM909_02"
"46","REACTOME_ACTIVATION_OF_SMO",1,1,0,18,"","MM909_02"
"47","REACTOME_ACTIVATION_OF_THE_AP_1_FAMILY_OF_TRANSCRIPTION_FACTORS",1,1,0,10,"","MM909_02"
"48","REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S",1,1,0,63,"","MM909_02"
"49","REACTOME_ACTIVATION_OF_THE_PHOTOTRANSDUCTION_CASCADE",1,1,0,11,"","MM909_02"
"50","REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX",1,1,0,33,"","MM909_02"
"51","REACTOME_ACTIVATION_OF_THE_TFAP2_AP_2_FAMILY_OF_TRANSCRIPTION_FACTORS",1,1,0,12,"","MM909_02"
"52","REACTOME_ACTIVATION_OF_TRKA_RECEPTORS",1,1,0,6,"","MM909_02"
"53","REACTOME_ACYL_CHAIN_REMODELING_OF_CL",1,1,0,6,"","MM909_02"
"54","REACTOME_ACYL_CHAIN_REMODELING_OF_DAG_AND_TAG",1,1,0,7,"","MM909_02"
"55","REACTOME_ACYL_CHAIN_REMODELLING_OF_PC",1,1,0,27,"","MM909_02"
"56","REACTOME_ACYL_CHAIN_REMODELLING_OF_PE",1,1,0,29,"","MM909_02"
"57","REACTOME_ACYL_CHAIN_REMODELLING_OF_PG",1,1,0,18,"","MM909_02"
"58","REACTOME_ACYL_CHAIN_REMODELLING_OF_PI",1,1,0,17,"","MM909_02"
"59","REACTOME_ACYL_CHAIN_REMODELLING_OF_PS",1,1,0,22,"","MM909_02"
"60","REACTOME_ADAPTIVE_IMMUNE_SYSTEM",1,1,0,965,"","MM909_02"
"61","REACTOME_ADENYLATE_CYCLASE_ACTIVATING_PATHWAY",1,1,0,10,"","MM909_02"
"62","REACTOME_ADENYLATE_CYCLASE_INHIBITORY_PATHWAY",1,1,0,14,"","MM909_02"
"63","REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS",1,1,0,33,"","MM909_02"
"64","REACTOME_ADORA2B_MEDIATED_ANTI_INFLAMMATORY_CYTOKINES_PRODUCTION",1,1,0,133,"","MM909_02"
"65","REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_1",1,1,0,25,"","MM909_02"
"66","REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_12",1,1,0,22,"","MM909_02"
"67","REACTOME_ADRENALINE_NORADRENALINE_INHIBITS_INSULIN_SECRETION",1,1,0,28,"","MM909_02"
"68","REACTOME_ADRENOCEPTORS",1,1,0,8,"","MM909_02"
"69","REACTOME_ADVANCED_GLYCOSYLATION_ENDPRODUCT_RECEPTOR_SIGNALING",1,1,0,19,"","MM909_02"
"70","REACTOME_AFLATOXIN_ACTIVATION_AND_DETOXIFICATION",1,1,0,19,"","MM909_02"
"71","REACTOME_AGGREPHAGY",1,1,0,44,"","MM909_02"
"72","REACTOME_AKT_PHOSPHORYLATES_TARGETS_IN_THE_CYTOSOL",1,1,0,14,"","MM909_02"
"73","REACTOME_AKT_PHOSPHORYLATES_TARGETS_IN_THE_NUCLEUS",1,1,0,10,"","MM909_02"
