"","pathway","pval","padj","overlap","size","overlapGenes","sample_id"
"1","GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION",0.000982789896878114,0.0992617795846895,2,828,"ENSG00000005810, ENSG00000182670","MM909_02"
"2","GOBP_PROTEIN_K48_LINKED_UBIQUITINATION",0.00404996520503076,0.204523242854053,1,65,"ENSG00000182670","MM909_02"
"3","GOBP_POSITIVE_REGULATION_OF_PROTEIN_UBIQUITINATION",0.00678448940181153,0.228411143194322,1,109,"ENSG00000005810","MM909_02"
"4","GOBP_REGULATION_OF_PROTEIN_UBIQUITINATION",0.0123602919339518,0.28212733162074,1,199,"ENSG00000005810","MM909_02"
"5","GOBP_PROTEIN_POLYUBIQUITINATION",0.0139666995851851,0.28212733162074,1,225,"ENSG00000182670","MM909_02"
"6","BIOCARTA_ATRBRCA_PATHWAY",1,1,0,22,"","MM909_02"
"7","BIOCARTA_CBL_PATHWAY",1,1,0,12,"","MM909_02"
"8","BIOCARTA_GSK3_PATHWAY",1,1,0,20,"","MM909_02"
"9","BIOCARTA_HIF_PATHWAY",1,1,0,15,"","MM909_02"
"10","BIOCARTA_P27_PATHWAY",1,1,0,13,"","MM909_02"
"11","BIOCARTA_P53HYPOXIA_PATHWAY",1,1,0,21,"","MM909_02"
"12","BIOCARTA_PARKIN_PATHWAY",1,1,0,8,"","MM909_02"
"13","BIOCARTA_PROTEASOME_PATHWAY",1,1,0,18,"","MM909_02"
"14","BIOCARTA_SPRY_PATHWAY",1,1,0,17,"","MM909_02"
"15","GCM_USP6",1,1,0,69,"","MM909_02"
"16","GOBP_FREE_UBIQUITIN_CHAIN_POLYMERIZATION",1,1,0,9,"","MM909_02"
"17","GOBP_HISTONE_UBIQUITINATION",1,1,0,8,"","MM909_02"
"18","GOBP_MONOUBIQUITINATED_PROTEIN_DEUBIQUITINATION",1,1,0,8,"","MM909_02"
"19","GOBP_NEGATIVE_REGULATION_OF_PROTEIN_UBIQUITINATION",1,1,0,78,"","MM909_02"
"20","GOBP_NEGATIVE_REGULATION_OF_UBIQUITIN_PROTEIN_LIGASE_ACTIVITY",1,1,0,9,"","MM909_02"
"21","GOBP_NEGATIVE_REGULATION_OF_UBIQUITIN_PROTEIN_TRANSFERASE_ACTIVITY",1,1,0,15,"","MM909_02"
"22","GOBP_POSITIVE_REGULATION_OF_UBIQUITIN_PROTEIN_LIGASE_ACTIVITY",1,1,0,9,"","MM909_02"
"23","GOBP_POSITIVE_REGULATION_OF_UBIQUITIN_PROTEIN_TRANSFERASE_ACTIVITY",1,1,0,22,"","MM909_02"
"24","GOBP_PROTEIN_DEUBIQUITINATION_INVOLVED_IN_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS",1,1,0,8,"","MM909_02"
"25","GOBP_PROTEIN_K11_LINKED_DEUBIQUITINATION",1,1,0,10,"","MM909_02"
"26","GOBP_PROTEIN_K11_LINKED_UBIQUITINATION",1,1,0,30,"","MM909_02"
"27","GOBP_PROTEIN_K27_LINKED_UBIQUITINATION",1,1,0,7,"","MM909_02"
"28","GOBP_PROTEIN_K29_LINKED_DEUBIQUITINATION",1,1,0,5,"","MM909_02"
"29","GOBP_PROTEIN_K29_LINKED_UBIQUITINATION",1,1,0,7,"","MM909_02"
"30","GOBP_PROTEIN_K48_LINKED_DEUBIQUITINATION",1,1,0,26,"","MM909_02"
"31","GOBP_PROTEIN_K63_LINKED_DEUBIQUITINATION",1,1,0,30,"","MM909_02"
"32","GOBP_PROTEIN_K63_LINKED_UBIQUITINATION",1,1,0,58,"","MM909_02"
"33","GOBP_PROTEIN_K6_LINKED_UBIQUITINATION",1,1,0,11,"","MM909_02"
"34","GOBP_PROTEIN_LINEAR_POLYUBIQUITINATION",1,1,0,5,"","MM909_02"
"35","GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_REMOVAL",1,1,0,133,"","MM909_02"
