Hugo_Symbol	Missense_Mutation	Splice_Site	total	MutatedSamples	AlteredSamples
ZNF521	5	0	5	3	3
MYCBP2	4	0	4	3	3
RNF17	3	0	3	3	3
HECW2	3	0	3	2	2
CBLB	1	1	2	2	2
CDC20B	2	0	2	2	2
FBXL20	2	0	2	2	2
LONRF3	2	0	2	2	2
MARCHF1	2	0	2	2	2
NEDD4L	1	1	2	2	2
RFPL2	2	0	2	2	2
RLIM	2	0	2	2	2
SH3RF2	2	0	2	2	2
USP29	2	0	2	2	2
USP34	2	0	2	2	2
VPS8	2	0	2	2	2
KLHL3	2	0	2	1	1
MARCHF10	2	0	2	1	1
MARCHF4	2	0	2	1	1
PDZRN4	2	0	2	1	1
USP35	2	0	2	1	1
ARIH2	1	0	1	1	1
BCOR	1	0	1	1	1
BIRC8	1	0	1	1	1
CAND1	1	0	1	1	1
CDC23	1	0	1	1	1
CHFR	1	0	1	1	1
CUL2	1	0	1	1	1
CUL4B	1	0	1	1	1
CUL9	1	0	1	1	1
DCUN1D5	1	0	1	1	1
DEPDC5	1	0	1	1	1
DTX1	1	0	1	1	1
ENC1	1	0	1	1	1
FBXL7	1	0	1	1	1
FBXO11	1	0	1	1	1
FBXW7	1	0	1	1	1
HECW1	1	0	1	1	1
HERC1	1	0	1	1	1
HUWE1	1	0	1	1	1
KLC4	1	0	1	1	1
KLHL13	1	0	1	1	1
KMT2D	1	0	1	1	1
LONRF1	1	0	1	1	1
MECOM	1	0	1	1	1
MED10	1	0	1	1	1
MKRN1	1	0	1	1	1
PRKN	1	0	1	1	1
RAG1	1	0	1	1	1
RBCK1	1	0	1	1	1
RC3H1	1	0	1	1	1
RC3H2	1	0	1	1	1
RNF112	1	0	1	1	1
RNF123	1	0	1	1	1
RNF146	1	0	1	1	1
RNF19B	1	0	1	1	1
RNF212	1	0	1	1	1
RNF213	1	0	1	1	1
RNF4	1	0	1	1	1
RNFT2	1	0	1	1	1
TRAF6	1	0	1	1	1
TRIM24	1	0	1	1	1
TRIM25	1	0	1	1	1
TRIM33	1	0	1	1	1
TRIM35	1	0	1	1	1
TRIM37	1	0	1	1	1
TRIM42	1	0	1	1	1
TRIM49B	1	0	1	1	1
TRIM49C	1	0	1	1	1
TRIM55	1	0	1	1	1
TRIM56	1	0	1	1	1
TRIM6	1	0	1	1	1
TRIM65	1	0	1	1	1
TRIP12	1	0	1	1	1
UBA2	1	0	1	1	1
UBA3	1	0	1	1	1
UBA6	1	0	1	1	1
UBE2E2	1	0	1	1	1
UBR1	1	0	1	1	1
UBR3	1	0	1	1	1
USP10	1	0	1	1	1
USP20	1	0	1	1	1
USP21	1	0	1	1	1
USP24	1	0	1	1	1
USP25	1	0	1	1	1
USP26	1	0	1	1	1
USP37	1	0	1	1	1
USP38	1	0	1	1	1
USP44	1	0	1	1	1
USP7	1	0	1	1	1
USP9X	1	0	1	1	1
USP9Y	1	0	1	1	1
VPS18	1	0	1	1	1
ZBTB12	1	0	1	1	1
ZNRF4	1	0	1	1	1
