"","pathway","pval","padj","overlap","size","overlapGenes","sample_id"
"1","HALLMARK_MYOGENESIS",0.000109487606588307,0.00547438032941536,4,200,"ENSG00000196569, ENSG00000133392, ENSG00000196218, ENSG00000149591","MM909_02"
"2","HALLMARK_SPERMATOGENESIS",0.000673871413558665,0.0168467853389666,3,139,"ENSG00000157764, ENSG00000198793, ENSG00000042813","MM909_02"
"3","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.00188907570400411,0.0314845950667352,3,199,"ENSG00000060718, ENSG00000196569, ENSG00000149591","MM909_02"
"4","HALLMARK_UV_RESPONSE_DN",0.0134603273258306,0.168254091572882,2,144,"ENSG00000060718, ENSG00000049323","MM909_02"
"5","HALLMARK_PANCREAS_BETA_CELLS",0.0487089411268374,0.487089411268374,1,41,"ENSG00000122859","MM909_02"
"6","HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.218337385128188,0.940858465696654,1,202,"ENSG00000178537","MM909_02"
"7","HALLMARK_GLYCOLYSIS",0.222147060632122,0.940858465696654,1,206,"ENSG00000111713","MM909_02"
"8","HALLMARK_KRAS_SIGNALING_DN",0.224045018907252,0.940858465696654,1,208,"ENSG00000196218","MM909_02"
"9","HALLMARK_IL2_STAT5_SIGNALING",0.226883387626085,0.940858465696654,1,211,"ENSG00000124942","MM909_02"
"10","HALLMARK_KRAS_SIGNALING_UP",0.227827230980629,0.940858465696654,1,212,"ENSG00000153233","MM909_02"
"11","HALLMARK_P53_PATHWAY",0.227827230980629,0.940858465696654,1,212,"ENSG00000073282","MM909_02"
"12","HALLMARK_APICAL_JUNCTION",0.235337140682347,0.940858465696654,1,220,"ENSG00000105409","MM909_02"
"13","HALLMARK_COMPLEMENT",0.24462320108113,0.940858465696654,1,230,"ENSG00000169946","MM909_02"
"14","HALLMARK_ADIPOGENESIS",1,1,0,201,"","MM909_02"
"15","HALLMARK_ALLOGRAFT_REJECTION",1,1,0,294,"","MM909_02"
"16","HALLMARK_ANDROGEN_RESPONSE",1,1,0,100,"","MM909_02"
"17","HALLMARK_ANGIOGENESIS",1,1,0,36,"","MM909_02"
"18","HALLMARK_APICAL_SURFACE",1,1,0,44,"","MM909_02"
"19","HALLMARK_APOPTOSIS",1,1,0,180,"","MM909_02"
"20","HALLMARK_BILE_ACID_METABOLISM",1,1,0,112,"","MM909_02"
"21","HALLMARK_CHOLESTEROL_HOMEOSTASIS",1,1,0,74,"","MM909_02"
"22","HALLMARK_COAGULATION",1,1,0,151,"","MM909_02"
"23","HALLMARK_DNA_REPAIR",1,1,0,161,"","MM909_02"
"24","HALLMARK_E2F_TARGETS",1,1,0,213,"","MM909_02"
"25","HALLMARK_ESTROGEN_RESPONSE_EARLY",1,1,0,207,"","MM909_02"
"26","HALLMARK_ESTROGEN_RESPONSE_LATE",1,1,0,207,"","MM909_02"
"27","HALLMARK_FATTY_ACID_METABOLISM",1,1,0,159,"","MM909_02"
"28","HALLMARK_G2M_CHECKPOINT",1,1,0,199,"","MM909_02"
"29","HALLMARK_HEDGEHOG_SIGNALING",1,1,0,36,"","MM909_02"
"30","HALLMARK_HEME_METABOLISM",1,1,0,207,"","MM909_02"
"31","HALLMARK_HYPOXIA",1,1,0,206,"","MM909_02"
"32","HALLMARK_IL6_JAK_STAT3_SIGNALING",1,1,0,102,"","MM909_02"
"33","HALLMARK_INFLAMMATORY_RESPONSE",1,1,0,217,"","MM909_02"
"34","HALLMARK_INTERFERON_ALPHA_RESPONSE",1,1,0,131,"","MM909_02"
"35","HALLMARK_INTERFERON_GAMMA_RESPONSE",1,1,0,273,"","MM909_02"
"36","HALLMARK_MITOTIC_SPINDLE",1,1,0,197,"","MM909_02"
"37","HALLMARK_MTORC1_SIGNALING",1,1,0,199,"","MM909_02"
"38","HALLMARK_MYC_TARGETS_V1",1,1,0,211,"","MM909_02"
"39","HALLMARK_MYC_TARGETS_V2",1,1,0,58,"","MM909_02"
"40","HALLMARK_NOTCH_SIGNALING",1,1,0,32,"","MM909_02"
"41","HALLMARK_PEROXISOME",1,1,0,104,"","MM909_02"
"42","HALLMARK_PI3K_AKT_MTOR_SIGNALING",1,1,0,110,"","MM909_02"
"43","HALLMARK_PROTEIN_SECRETION",1,1,0,98,"","MM909_02"
"44","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",1,1,0,51,"","MM909_02"
"45","HALLMARK_TGF_BETA_SIGNALING",1,1,0,55,"","MM909_02"
"46","HALLMARK_TNFA_SIGNALING_VIA_NFKB",1,1,0,218,"","MM909_02"
"47","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",1,1,0,113,"","MM909_02"
"48","HALLMARK_UV_RESPONSE_UP",1,1,0,183,"","MM909_02"
"49","HALLMARK_WNT_BETA_CATENIN_SIGNALING",1,1,0,48,"","MM909_02"
"50","HALLMARK_XENOBIOTIC_METABOLISM",1,1,0,215,"","MM909_02"
"51","HALLMARK_MYOGENESIS",1.89110228971559e-08,9.45551144857796e-07,15,200,"ENSG00000134817, ENSG00000143318, ENSG00000135218, ENSG00000087258, ENSG00000055118, ENSG00000109061, ENSG00000125414, ENSG00000264424, ENSG00000133020, ENSG00000198336, ENSG00000065534, ENSG00000101605, ENSG00000149294, ENSG00000095637, ENSG00000103197","MM909_03"
"52","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",8.08651202211027e-07,2.02162800552757e-05,13,199,"ENSG00000112186, ENSG00000164692, ENSG00000080573, ENSG00000122218, ENSG00000011465, ENSG00000151914, ENSG00000115414, ENSG00000166033, ENSG00000053747, ENSG00000065534, ENSG00000166741, ENSG00000137801, ENSG00000041982","MM909_03"
"53","HALLMARK_IL6_JAK_STAT3_SIGNALING",3.48108127624434e-06,5.8018021270739e-05,9,102,"ENSG00000175899, ENSG00000163823, ENSG00000135218, ENSG00000205755, ENSG00000198223, ENSG00000100368, ENSG00000096996, ENSG00000115604, ENSG00000137462","MM909_03"
