"","pathway","pval","padj","overlap","size","overlapGenes","sample_id"
"1","TIEN_INTESTINE_PROBIOTICS_24HR_DN",0.0586306199829876,1,2,214,"ENSG00000185624, ENSG00000182670","MM909_02"
"2","GCM_PSME1",0.140778482264867,1,1,83,"ENSG00000196531","MM909_02"
"3","CONCANNON_APOPTOSIS_BY_EPOXOMICIN_DN",0.265928632572839,1,1,169,"ENSG00000106688","MM909_02"
"4","TIEN_INTESTINE_PROBIOTICS_24HR_UP",0.271066336418846,1,2,558,"ENSG00000106688, ENSG00000149591","MM909_02"
"5","CONCANNON_APOPTOSIS_BY_EPOXOMICIN_UP",0.349558506698459,1,1,235,"ENSG00000083857","MM909_02"
"6","BENITEZ_GBM_PROTEASOME_INHIBITION_RESPONSE",1,1,0,48,"","MM909_02"
"7","BIOCARTA_PROTEASOME_PATHWAY",1,1,0,18,"","MM909_02"
"8","BIOCARTA_RARRXR_PATHWAY",1,1,0,7,"","MM909_02"
"9","BORCZUK_MALIGNANT_MESOTHELIOMA_DN",1,1,0,100,"","MM909_02"
"10","BORCZUK_MALIGNANT_MESOTHELIOMA_UP",1,1,0,308,"","MM909_02"
"11","GOBP_PROTEASOME_ASSEMBLY",1,1,0,12,"","MM909_02"
"12","GOBP_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS_VIA_THE_C_END_DEGRON_RULE_PATHWAY",1,1,0,12,"","MM909_02"
"13","GOCC_PROTEASOME_ACCESSORY_COMPLEX",1,1,0,23,"","MM909_02"
"14","GOCC_PROTEASOME_COMPLEX",1,1,0,59,"","MM909_02"
"15","GOCC_PROTEASOME_CORE_COMPLEX",1,1,0,19,"","MM909_02"
"16","GOCC_PROTEASOME_CORE_COMPLEX_ALPHA_SUBUNIT_COMPLEX",1,1,0,8,"","MM909_02"
"17","GOCC_PROTEASOME_CORE_COMPLEX_BETA_SUBUNIT_COMPLEX",1,1,0,10,"","MM909_02"
"18","GOCC_PROTEASOME_REGULATORY_PARTICLE",1,1,0,19,"","MM909_02"
"19","GOCC_PROTEASOME_REGULATORY_PARTICLE_BASE_SUBCOMPLEX",1,1,0,9,"","MM909_02"
"20","GOCC_PROTEASOME_REGULATORY_PARTICLE_LID_SUBCOMPLEX",1,1,0,7,"","MM909_02"
"21","GOCC_SPERMATOPROTEASOME_COMPLEX",1,1,0,5,"","MM909_02"
"22","HERNANDEZ_ABERRANT_MITOSIS_BY_DOCETACEL_2NM_DN",1,1,0,22,"","MM909_02"
"23","HERNANDEZ_ABERRANT_MITOSIS_BY_DOCETACEL_2NM_UP",1,1,0,69,"","MM909_02"
"24","HERNANDEZ_ABERRANT_MITOSIS_BY_DOCETACEL_4NM_DN",1,1,0,6,"","MM909_02"
"25","HERNANDEZ_ABERRANT_MITOSIS_BY_DOCETACEL_4NM_UP",1,1,0,23,"","MM909_02"
"26","HERNANDEZ_MITOTIC_ARREST_BY_DOCETAXEL_1_DN",1,1,0,37,"","MM909_02"
"27","HERNANDEZ_MITOTIC_ARREST_BY_DOCETAXEL_1_UP",1,1,0,34,"","MM909_02"
"28","HERNANDEZ_MITOTIC_ARREST_BY_DOCETAXEL_2_DN",1,1,0,18,"","MM909_02"
"29","HERNANDEZ_MITOTIC_ARREST_BY_DOCETAXEL_2_UP",1,1,0,60,"","MM909_02"
"30","KEGG_PARKINSONS_DISEASE",1,1,0,113,"","MM909_02"
"31","KEGG_PROTEASOME",1,1,0,44,"","MM909_02"
"32","KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS",1,1,0,133,"","MM909_02"
"33","LE_SKI_TARGETS_DN",1,1,0,7,"","MM909_02"
"34","LE_SKI_TARGETS_UP",1,1,0,17,"","MM909_02"
"35","MORF_PSMC1",1,1,0,189,"","MM909_02"
"36","MORF_PSMC2",1,1,0,115,"","MM909_02"
"37","MORF_PSMF1",1,1,0,166,"","MM909_02"
"38","PELLICCIOTTA_HDAC_IN_ANTIGEN_PRESENTATION_DN",1,1,0,49,"","MM909_02"
"39","PELLICCIOTTA_HDAC_IN_ANTIGEN_PRESENTATION_UP",1,1,0,63,"","MM909_02"
"40","PODAR_RESPONSE_TO_ADAPHOSTIN_DN",1,1,0,18,"","MM909_02"
"41","PODAR_RESPONSE_TO_ADAPHOSTIN_UP",1,1,0,145,"","MM909_02"
"42","REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION",1,1,0,307,"","MM909_02"
"43","REACTOME_DEGRADATION_OF_GLI1_BY_THE_PROTEASOME",1,1,0,59,"","MM909_02"
"44","SAKAI_CHRONIC_HEPATITIS_VS_LIVER_CANCER_DN",1,1,0,36,"","MM909_02"
"45","SAKAI_CHRONIC_HEPATITIS_VS_LIVER_CANCER_UP",1,1,0,81,"","MM909_02"
"46","SAKAI_TUMOR_INFILTRATING_MONOCYTES_DN",1,1,0,80,"","MM909_02"
"47","SAKAI_TUMOR_INFILTRATING_MONOCYTES_UP",1,1,0,27,"","MM909_02"
"48","TIEN_INTESTINE_PROBIOTICS_2HR_DN",1,1,0,89,"","MM909_02"
"49","TIEN_INTESTINE_PROBIOTICS_2HR_UP",1,1,0,30,"","MM909_02"
"50","TIEN_INTESTINE_PROBIOTICS_6HR_DN",1,1,0,170,"","MM909_02"
"51","TIEN_INTESTINE_PROBIOTICS_6HR_UP",1,1,0,52,"","MM909_02"
"52","VETTER_TARGETS_OF_PRKCA_AND_ETS1_DN",1,1,0,16,"","MM909_02"
"53","VETTER_TARGETS_OF_PRKCA_AND_ETS1_UP",1,1,0,16,"","MM909_02"
"54","WONG_MITOCHONDRIA_GENE_MODULE",1,1,0,215,"","MM909_02"
"55","WONG_PROTEASOME_GENE_MODULE",1,1,0,48,"","MM909_02"
"56","WP_PROTEASOME_DEGRADATION",1,1,0,60,"","MM909_02"
"57","CONCANNON_APOPTOSIS_BY_EPOXOMICIN_DN",0.000159936574060659,0.00600269052120304,11,169,"ENSG00000144452, ENSG00000162433, ENSG00000163618, ENSG00000155849, ENSG00000139329, ENSG00000138119, ENSG00000134853, ENSG00000143847, ENSG00000139970, ENSG00000137642, ENSG00000111490","MM909_03"
"58","CONCANNON_APOPTOSIS_BY_EPOXOMICIN_UP",0.00021438180432868,0.00600269052120304,13,235,"ENSG00000151320, ENSG00000058668, ENSG00000112186, ENSG00000083857, ENSG00000108010, ENSG00000168918, ENSG00000137261, ENSG00000078081, ENSG00000214107, ENSG00000065833, ENSG00000108671, ENSG00000136603, ENSG00000168439","MM909_03"
"59","REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION",0.000865006073622912,0.016146780040961,14,307,"ENSG00000196510, ENSG00000177479, ENSG00000164122, ENSG00000119402, ENSG00000138411, ENSG00000138641, ENSG00000146021, ENSG00000109790, ENSG00000198862, ENSG00000133606, ENSG00000049759, ENSG00000185345, ENSG00000108671, ENSG00000184557","MM909_03"
"60","KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS",0.00201857189963534,0.0282600065948948,8,133,"ENSG00000196510, ENSG00000115760, ENSG00000138641, ENSG00000095015, ENSG00000049759, ENSG00000185345, ENSG00000184557, ENSG00000126261","MM909_03"
"61","HERNANDEZ_ABERRANT_MITOSIS_BY_DOCETACEL_2NM_DN",0.00587220784366077,0.0657687278490006,3,22,"ENSG00000175899, ENSG00000139329, ENSG00000134853","MM909_03"
"62","MORF_PSMF1",0.0076661020322747,0.0702944102479417,8,166,"ENSG00000012232, ENSG00000114648, ENSG00000009413, ENSG00000159216, ENSG00000100095, ENSG00000114923, ENSG00000064313, ENSG00000119685","MM909_03"
