"","pathway","pval","padj","overlap","size","overlapGenes","sample_id"
"1","HALLMARK_MYOGENESIS",1.83911139362884e-06,9.1955569681442e-05,7,200,"ENSG00000196557, ENSG00000082781, ENSG00000196569, ENSG00000133392, ENSG00000109063, ENSG00000196218, ENSG00000149591","MM909_02"
"2","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.000269778151452877,0.00674445378632193,5,199,"ENSG00000060718, ENSG00000082781, ENSG00000196569, ENSG00000149591, ENSG00000069702","MM909_02"
"3","HALLMARK_ESTROGEN_RESPONSE_EARLY",0.00292713488760591,0.0398470266962224,4,207,"ENSG00000169583, ENSG00000096968, ENSG00000180530, ENSG00000106688","MM909_02"
"4","HALLMARK_KRAS_SIGNALING_UP",0.00318776213569779,0.0398470266962224,4,212,"ENSG00000011677, ENSG00000164116, ENSG00000048052, ENSG00000153233","MM909_02"
"5","HALLMARK_SPERMATOGENESIS",0.0073217029031924,0.0671983104178893,3,139,"ENSG00000157764, ENSG00000198793, ENSG00000042813","MM909_02"
"6","HALLMARK_UV_RESPONSE_DN",0.00806379725014672,0.0671983104178893,3,144,"ENSG00000060718, ENSG00000049323, ENSG00000069702","MM909_02"
"7","HALLMARK_ALLOGRAFT_REJECTION",0.00995203766384533,0.0710859833131809,4,294,"ENSG00000147889, ENSG00000082074, ENSG00000048052, ENSG00000096968","MM909_02"
"8","HALLMARK_ESTROGEN_RESPONSE_LATE",0.0212034602979099,0.114156649355979,3,207,"ENSG00000169583, ENSG00000096968, ENSG00000180530","MM909_02"
"9","HALLMARK_P53_PATHWAY",0.0225554198895722,0.114156649355979,3,212,"ENSG00000147889, ENSG00000177106, ENSG00000073282","MM909_02"
"10","HALLMARK_E2F_TARGETS",0.0228313298711957,0.114156649355979,3,213,"ENSG00000147889, ENSG00000065911, ENSG00000108055","MM909_02"
"11","HALLMARK_COMPLEMENT",0.0278029532036621,0.126377060016646,3,230,"ENSG00000096968, ENSG00000085377, ENSG00000169946","MM909_02"
"12","HALLMARK_MITOTIC_SPINDLE",0.107297061006877,0.412458379398956,2,197,"ENSG00000108055, ENSG00000154556","MM909_02"
"13","HALLMARK_PANCREAS_BETA_CELLS",0.109496822778387,0.412458379398956,1,41,"ENSG00000122859","MM909_02"
"14","HALLMARK_GLYCOLYSIS",0.115488346231708,0.412458379398956,2,206,"ENSG00000196557, ENSG00000111713","MM909_02"
"15","HALLMARK_APICAL_JUNCTION",0.128530600038131,0.419817511295094,2,220,"ENSG00000105409, ENSG00000082074","MM909_02"
"16","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.13434160361443,0.419817511295094,1,51,"ENSG00000104884","MM909_02"
"17","HALLMARK_MYC_TARGETS_V2",0.151321591519893,0.445063504470273,1,58,"ENSG00000120800","MM909_02"
"18","HALLMARK_INTERFERON_GAMMA_RESPONSE",0.180476294124917,0.501323039235881,2,273,"ENSG00000096968, ENSG00000065911","MM909_02"
"19","HALLMARK_ANDROGEN_RESPONSE",0.246465718919452,0.648593997156454,1,100,"ENSG00000164116","MM909_02"
"20","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.273706287222548,0.684265718056371,1,113,"ENSG00000065911","MM909_02"
"21","HALLMARK_COAGULATION",0.347844005666909,0.79165431510684,1,151,"ENSG00000085377","MM909_02"
"22","HALLMARK_DNA_REPAIR",0.366069870151883,0.79165431510684,1,161,"ENSG00000104884","MM909_02"
"23","HALLMARK_APOPTOSIS",0.399314847430576,0.79165431510684,1,180,"ENSG00000069702","MM909_02"
"24","HALLMARK_MTORC1_SIGNALING",0.430825497574345,0.79165431510684,1,199,"ENSG00000065911","MM909_02"
"25","HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.435648307120915,0.79165431510684,1,202,"ENSG00000178537","MM909_02"
